ID_REF	VALUE
258947_at	4.956223924
252411_at	5.952640393
259629_at	3.666778157
261037_at	3.952324682
258606_at	5.750277592
263783_at	7.175090011
262536_at	7.724790884
264153_at	4.843964737
255795_at	4.219788187
261191_at	5.193539108
256526_at	4.044950392
248322_at	4.291300907
250257_at	6.128542931
263800_at	5.239010484
253048_at	3.884992021
249230_at	6.114881648
260656_at	8.672742377
248327_at	4.358612649
261470_at	7.443272392
250796_at	4.168580449
256057_at	5.037295894
264435_at	5.674055375
262745_at	7.129012914
249983_at	7.187894482
252084_at	4.816756832
249918_at	7.365584748
256442_at	5.480834105
256049_at	6.212065623
261488_at	6.372538219
253386_at	8.454230382
266545_at	7.376302589
250435_at	5.611843366
266821_at	6.218510484
247455_at	4.640958715
263760_at	6.754878239
251884_at	6.04409337
264597_at	5.624226668
249264_s_at	4.19455299
260982_at	6.627261571
258025_at	5.317198218
256076_at	7.584713501
262085_at	5.223194241
262383_at	7.418103344
245018_at	6.653411069
248282_at	4.223052452
267169_at	5.787203283
267069_at	7.482455757
252648_at	5.402288004
265853_at	4.530718268
265075_at	7.741223978
247848_at	5.095096707
267005_at	6.667439706
260744_at	7.546643368
246075_at	3.9099833
251744_at	6.78857497
253643_at	8.612493422
266800_at	9.040049171
265741_at	5.76197441
256856_at	6.079486597
245866_s_at	7.920715488
259791_at	5.18302938
249417_at	6.979937578
266455_at	6.082570328
259927_at	4.706399084
247215_at	4.951996962
249197_at	5.227597562
256763_at	6.566922873
260046_at	4.634834588
254255_at	2.891013472
247694_at	6.712543013
252181_at	8.648434695
266600_at	5.232050764
249932_at	3.57518761
264096_at	4.649519249
253859_at	6.56640706
252353_at	4.196002218
250075_at	6.607643356
254120_at	8.618766244
250098_at	6.955850129
251820_at	7.374468593
264434_at	6.445045504
247773_at	3.501685649
248873_at	4.423907384
254075_at	5.535246946
258495_at	6.199971801
250149_at	4.855605528
249002_at	6.00192309
260227_at	8.057646367
253632_at	5.057892287
267411_at	6.439171529
260155_at	7.580485531
259428_at	3.452800378
260876_at	6.0875206
249410_at	2.549060533
260481_at	10.03579704
252053_at	8.274873541
245776_at	6.58453907
251054_at	3.715777721
265276_at	7.147263043
264232_at	5.624780663
251507_at	5.113994314
247789_at	5.551422721
246226_at	7.499593084
252688_at	3.38867996
257954_at	4.664772255
252906_at	7.167915437
260696_at	5.489982474
262160_at	6.114489495
261476_at	7.413388231
251969_at	6.334654958
260769_at	4.704984269
246303_at	5.592060991
247208_at	6.817517884
251603_at	5.292597621
255599_at	5.832206759
260201_at	5.19872979
245840_at	4.556513801
261405_at	7.898656678
265742_at	6.242024553
247431_at	9.805960682
246927_s_at	3.623626683
249493_at	4.879595632
256009_at	5.019927151
267580_at	4.700205103
248978_at	6.274296711
261017_at	4.727370717
263533_at	6.514878379
267288_at	6.473069007
264758_at	8.689000905
252924_at	7.068192038
264954_at	7.473418849
258804_at	4.941371427
249191_at	3.809472026
248316_at	4.114403986
249719_at	8.971284566
247101_at	8.528003371
265713_at	4.484744838
257666_at	4.916709436
260399_at	5.818063505
251774_at	6.466164781
253962_at	3.248840582
265841_at	6.877181612
244998_at	8.209896589
254111_at	3.300901054
247693_at	7.25531423
264000_at	9.191033717
250676_at	8.953340058
253693_at	7.820465072
249928_at	6.923062407
253039_at	8.345050777
246429_at	4.943214739
254580_at	7.122588123
255884_at	5.274807141
266017_at	9.878182471
262105_at	6.978070674
260406_at	5.18496581
254256_at	5.627619618
252060_at	5.644098672
246108_at	7.7690106
248199_at	8.272967515
257919_at	6.303876912
261143_at	9.730530524
265648_at	8.47054099
263442_at	4.095998641
249903_at	5.935675842
255360_at	7.920172421
247177_at	6.942247661
261474_at	4.553587173
252378_at	4.596921213
264704_at	5.497093487
264289_at	8.848203148
261648_at	8.497712511
264728_at	7.158731412
259445_at	7.411849914
251336_at	7.897329188
253951_at	7.413640977
258792_at	8.863297207
259137_at	8.835386816
248821_at	5.897522177
259325_at	5.503283095
255900_at	6.571029666
265869_at	4.28821097
263452_at	3.770063301
262823_at	8.692311424
247913_at	6.046017637
247290_at	5.335181593
249691_at	7.202492886
264041_at	3.310133252
266316_at	9.717323557
264852_at	7.047429393
246313_at	3.184896243
247279_at	9.503309659
250415_at	3.78448874
266071_at	5.23437663
253489_at	8.569445057
259418_at	4.179660452
266658_at	8.128163509
262549_at	3.884080356
258621_at	5.765045695
255842_at	5.027943212
245711_at	8.949472034
256050_at	7.737504127
258295_at	8.265532887
266620_at	5.231292556
253891_at	7.51380945
253628_at	9.192643593
249423_at	4.069620061
253827_at	6.481767232
245797_at	5.754228066
256884_at	3.922732653
250335_at	8.248129252
255764_at	8.022195284
260581_at	5.156630504
266867_at	6.002763488
267537_at	7.185105509
261394_at	3.076683541
252652_at	6.494443504
248190_at	5.294859213
266246_at	7.081671873
258251_at	8.82752651
260068_at	3.154475563
263182_at	8.323149973
259753_at	4.139134329
260673_at	7.687799092
254520_at	5.736918413
247393_at	5.846694106
259179_at	4.198351437
251979_at	3.54729677
252179_at	4.796991021
251745_at	8.966314763
265632_at	5.172674379
248870_at	7.83293091
254432_at	8.562652143
252979_at	7.899600651
265732_at	7.568889477
262945_at	6.861612356
245632_at	5.91507218
254545_at	7.032023737
249747_at	5.573249623
246495_at	6.234888788
263478_at	8.848526941
247426_at	7.682257037
261545_at	7.188840669
254291_at	8.413417144
253956_at	5.563394372
265184_at	8.125255386
263471_at	6.318803304
245514_at	6.276031125
252878_at	8.704114641
252489_at	4.389170117
265682_at	3.875415324
256837_at	5.168173491
258394_at	8.156046731
256792_at	3.151317399
257794_at	6.960171936
247891_at	5.507643097
265959_at	7.026271345
259015_at	9.45554098
259160_at	4.968460301
261938_at	7.424669349
252908_at	7.946867711
265737_at	8.223813635
252131_at	7.335768058
