ID_REF	VALUE
258947_at	5.660059554
252411_at	4.564709501
259629_at	4.571537326
261037_at	3.737540016
258606_at	5.742563615
263783_at	7.031063779
262536_at	7.012666872
264153_at	5.505229748
255795_at	4.223783995
261191_at	4.289819418
256526_at	4.746435409
248322_at	5.740166332
250257_at	6.315487473
263800_at	5.597938902
253048_at	4.151402728
249230_at	6.280239278
260656_at	8.957285525
248327_at	6.123649076
261470_at	7.214304694
250796_at	4.727989558
256057_at	5.923231497
264435_at	5.944432039
262745_at	7.549512627
249983_at	6.766279288
252084_at	4.496195034
249918_at	8.001291295
256442_at	5.497684557
256049_at	5.753344449
261488_at	5.32731278
253386_at	8.050279176
266545_at	6.925431058
250435_at	5.277994096
266821_at	6.245749762
247455_at	5.384577389
263760_at	6.852751525
251884_at	5.876057292
264597_at	5.319276768
249264_s_at	4.386734207
260982_at	7.115372019
258025_at	4.877386895
256076_at	7.705434078
262085_at	5.932551442
262383_at	7.064121856
245018_at	6.851556341
248282_at	4.692099897
267169_at	6.649140434
267069_at	6.91433669
252648_at	5.266784163
265853_at	4.851760321
265075_at	8.163849253
247848_at	5.016705391
267005_at	6.736964017
260744_at	6.849922236
246075_at	4.63592984
251744_at	6.590659934
253643_at	8.374492935
266800_at	9.166580286
265741_at	5.636917478
256856_at	5.847085036
245866_s_at	8.094518207
259791_at	5.033149784
249417_at	5.528203293
266455_at	6.063295685
259927_at	5.031745894
247215_at	6.57555299
249197_at	5.058955884
256763_at	6.217263447
260046_at	4.54765874
254255_at	4.196033136
247694_at	6.643101182
252181_at	8.123100329
266600_at	5.268401226
249932_at	3.893530256
264096_at	3.943691578
253859_at	5.923801785
252353_at	3.809501789
250075_at	6.443462436
254120_at	8.148906195
250098_at	6.69417688
251820_at	7.022101874
264434_at	6.340654191
247773_at	3.451718793
248873_at	4.176103525
254075_at	5.658503208
258495_at	6.134327256
250149_at	5.405470742
249002_at	5.927557151
260227_at	8.024003245
253632_at	4.964605171
267411_at	6.335742533
260155_at	8.088351732
259428_at	3.704377737
260876_at	6.347993486
249410_at	2.804607993
260481_at	10.07289641
252053_at	8.279805183
245776_at	6.122636746
251054_at	4.664620904
265276_at	7.562748508
264232_at	5.599234902
251507_at	4.941276543
247789_at	5.426518752
246226_at	7.55987512
252688_at	3.59378761
257954_at	4.022216908
252906_at	7.406158945
260696_at	5.217434569
262160_at	5.847156347
261476_at	6.046352942
251969_at	6.137124755
260769_at	4.757455289
246303_at	5.554078023
247208_at	6.454618498
251603_at	5.446166382
