ID_REF	VALUE
258947_at	6.786375259
252411_at	7.834792506
259629_at	6.939602237
261037_at	6.15072225
258606_at	7.807667728
263783_at	9.048303594
262536_at	9.772378039
264153_at	7.624350276
255795_at	6.976856813
261191_at	7.324556825
256526_at	7.221729487
248322_at	6.015828041
250257_at	8.425452332
263800_at	7.917435031
253048_at	6.04015471
249230_at	8.328638795
260656_at	10.99273044
248327_at	6.606073238
261470_at	9.137162888
250796_at	5.918539097
256057_at	6.960461573
264435_at	7.768730651
262745_at	9.042929212
249983_at	8.745611728
252084_at	6.542969506
249918_at	9.202719289
256442_at	6.783970787
256049_at	7.785184068
261488_at	7.788324671
253386_at	10.42725966
266545_at	9.136182503
250435_at	6.964520385
266821_at	8.036986805
247455_at	6.646469979
263760_at	8.664735192
251884_at	7.323686734
264597_at	7.234431998
249264_s_at	6.035617181
260982_at	8.175341703
258025_at	6.921467132
256076_at	9.317485394
262085_at	7.111245305
262383_at	9.236254404
245018_at	8.305445677
248282_at	6.398573851
267169_at	7.558540214
267069_at	8.994430282
252648_at	7.117028828
265853_at	6.499072557
265075_at	9.405016731
247848_at	7.181634503
267005_at	8.256654275
260744_at	8.586122375
246075_at	5.893848388
251744_at	8.361569548
253643_at	10.04186241
266800_at	10.15193162
265741_at	7.422016445
256856_at	7.489316949
245866_s_at	9.323879446
259791_at	6.193632198
249417_at	7.965422312
266455_at	7.079093588
259927_at	6.447260448
247215_at	6.49444032
249197_at	6.499406005
256763_at	7.930361341
260046_at	6.221617379
254255_at	4.604090169
247694_at	8.243720403
252181_at	10.19175077
266600_at	6.604585432
249932_at	4.949202925
264096_at	5.976872461
253859_at	7.279147737
252353_at	5.453705945
250075_at	7.92114788
254120_at	10.39749887
250098_at	8.169844327
251820_at	8.506926071
264434_at	7.753878554
247773_at	5.339316848
248873_at	5.876869002
254075_at	7.236276592
258495_at	7.604984104
250149_at	6.392443508
249002_at	7.475042188
260227_at	9.151835953
253632_at	6.24311709
267411_at	8.374578984
260155_at	8.844708551
259428_at	5.096981462
260876_at	7.395447861
249410_at	4.383421075
260481_at	11.45346151
252053_at	9.558269959
245776_at	7.47441115
251054_at	5.429150727
265276_at	8.53885179
264232_at	7.206310781
251507_at	6.57846226
247789_at	6.519759561
246226_at	8.821295342
252688_at	4.88835537
257954_at	5.915237694
252906_at	8.557585104
260696_at	6.547194638
262160_at	7.277508727
261476_at	7.854975291
251969_at	7.559563822
260769_at	5.854801219
246303_at	6.6994332
247208_at	7.619356056
251603_at	6.731828066
255599_at	6.922679487
260201_at	6.731164459
245840_at	6.185911473
261405_at	8.796412254
265742_at	7.387352578
247431_at	10.63990982
246927_s_at	4.974148011
249493_at	6.199780128
256009_at	5.674506151
267580_at	6.185240924
248978_at	7.40348135
261017_at	6.220259101
263533_at	7.945057325
267288_at	7.80725382
264758_at	9.612200073
252924_at	8.2082502
264954_at	8.683060568
258804_at	5.952125086
249191_at	4.733585835
248316_at	4.9617724
249719_at	9.731359148
247101_at	9.736899096
265713_at	5.692009843
257666_at	6.559232728
260399_at	6.784919885
251774_at	7.827354608
253962_at	4.407479303
265841_at	8.222477731
244998_at	8.975371835
254111_at	4.416546584
247693_at	8.077029022
264000_at	10.18865734
250676_at	10.26542632
253693_at	8.694702633
249928_at	8.109103782
253039_at	9.224204633
246429_at	5.999381953
254580_at	8.078273608
255884_at	6.504587392
266017_at	10.87136337
262105_at	7.597292813
260406_at	6.049762325
254256_at	6.80765123
252060_at	6.29518083
246108_at	8.554222762
248199_at	9.211756368
257919_at	7.029378128
261143_at	10.75166554
265648_at	9.423033662
263442_at	5.170526812
249903_at	7.111887829
255360_at	8.992377847
247177_at	7.525148683
261474_at	5.781434419
252378_at	5.702573714
264704_at	6.503202097
264289_at	9.746888761
261648_at	9.616340099
264728_at	8.373231253
259445_at	8.284345046
251336_at	8.49471832
253951_at	8.487646766
258792_at	9.76641033
259137_at	9.498487796
248821_at	7.097025237
259325_at	6.53827259
255900_at	7.483993098
265869_at	5.234621628
263452_at	4.332405283
262823_at	9.682798601
247913_at	6.524159055
247290_at	6.031738243
249691_at	8.236895288
264041_at	4.18212568
266316_at	10.70948236
264852_at	7.713780678
246313_at	4.220893016
247279_at	10.35706967
250415_at	4.504979771
266071_at	6.28098945
253489_at	9.495178959
259418_at	5.004267842
266658_at	8.998399668
262549_at	5.393563937
258621_at	6.792478643
255842_at	5.716367178
245711_at	9.619919857
256050_at	8.408338817
258295_at	9.074814373
266620_at	6.25777379
253891_at	8.712199741
253628_at	10.35477015
249423_at	4.639021838
253827_at	7.425814627
245797_at	6.63353778
256884_at	4.882781477
250335_at	8.989033955
255764_at	8.917207146
260581_at	5.651564178
266867_at	6.876090714
267537_at	8.05686261
261394_at	3.922192697
252652_at	7.581334295
248190_at	6.052201184
266246_at	8.047796557
258251_at	9.515602353
260068_at	3.9414316
263182_at	9.157484708
259753_at	5.131744379
260673_at	8.207445915
254520_at	6.46401318
247393_at	6.516948648
259179_at	5.18749891
