ID_REF	VALUE
258947_at	5.012559975
252411_at	5.008755537
259629_at	4.850634521
261037_at	4.139027877
258606_at	5.695947652
263783_at	7.452224807
262536_at	7.308620317
264153_at	5.27923296
255795_at	4.659415945
261191_at	5.101057545
256526_at	6.171490527
248322_at	4.297106037
250257_at	6.368432294
263800_at	6.520440053
253048_at	4.305918346
249230_at	6.593159329
260656_at	9.408792911
248327_at	5.841644985
261470_at	7.927373334
250796_at	4.404010897
256057_at	5.436321993
264435_at	5.79840132
262745_at	7.902395174
249983_at	7.584322118
252084_at	4.442932913
249918_at	8.145514437
256442_at	5.498198961
256049_at	5.829396074
261488_at	5.803743065
253386_at	8.345568621
266545_at	7.540048302
250435_at	5.487382934
266821_at	7.056954886
247455_at	5.014444884
263760_at	6.878843912
251884_at	6.151347443
264597_at	5.455278095
249264_s_at	5.017237249
260982_at	6.131721857
258025_at	5.154015193
256076_at	7.461888451
262085_at	5.705766071
262383_at	7.720751845
245018_at	7.029684229
248282_at	5.368881569
267169_at	6.111789599
267069_at	7.87335882
252648_at	5.958866434
265853_at	5.43597125
265075_at	8.295990388
247848_at	5.853145499
267005_at	6.844472637
260744_at	7.052380881
246075_at	4.184974097
251744_at	6.792261167
253643_at	9.256462136
266800_at	8.820755029
265741_at	6.057934428
256856_at	5.76152269
245866_s_at	8.291660355
259791_at	4.498710348
249417_at	7.064182346
266455_at	5.548224118
259927_at	5.01566911
247215_at	5.395005105
249197_at	5.498729768
256763_at	6.865154094
260046_at	5.137389103
254255_at	3.414929338
247694_at	6.755943683
252181_at	8.540626424
266600_at	4.844101723
249932_at	3.78631869
264096_at	4.508693371
253859_at	6.392808023
252353_at	3.831296824
250075_at	6.642395942
254120_at	9.795906551
250098_at	7.246931747
251820_at	6.820466065
264434_at	6.672986355
247773_at	3.483301082
248873_at	4.789952357
254075_at	5.888446307
258495_at	5.958857443
250149_at	5.282487938
249002_at	6.098516526
260227_at	8.079128991
253632_at	4.892321444
267411_at	7.413165043
260155_at	7.514115065
259428_at	4.15984536
260876_at	6.054440661
249410_at	2.821550004
260481_at	10.03496955
252053_at	8.680297413
245776_at	5.788749005
251054_at	4.488234244
265276_at	7.823436592
264232_at	6.289213636
251507_at	5.701906444
247789_at	5.55274556
246226_at	7.531803635
252688_at	3.59353401
257954_at	4.26840815
252906_at	7.829529791
260696_at	5.194887198
262160_at	5.712668896
261476_at	7.14637668
251969_at	6.425265019
260769_at	4.830190486
246303_at	5.541193592
247208_at	6.778278379
251603_at	5.795704744
255599_at	5.834709207
260201_at	5.370191
245840_at	5.24512589
261405_at	7.884565387
265742_at	6.295907505
247431_at	9.290650139
246927_s_at	4.369384258
249493_at	5.350365733
256009_at	5.095456122
267580_at	5.16141266
248978_at	6.719172435
261017_at	5.138106189
263533_at	6.612726834
267288_at	6.697485184
264758_at	8.624277256
252924_at	6.75515195
264954_at	7.41518264
258804_at	4.966810545
249191_at	3.107880679
248316_at	4.4415042
249719_at	9.248444454
247101_at	8.49241272
265713_at	4.487868389
257666_at	5.38598665
260399_at	5.953636169
251774_at	6.656312672
253962_at	3.421026809
265841_at	7.628274873
244998_at	7.860278102
254111_at	3.297352132
247693_at	6.904845646
264000_at	9.524002787
250676_at	9.657135915
253693_at	7.622189081
249928_at	7.342340502
253039_at	7.737650068
246429_at	5.092228317
254580_at	6.923451502
255884_at	5.365692023
266017_at	10.20383373
262105_at	6.621437038
260406_at	5.3700744
254256_at	6.277822868
252060_at	5.794792462
246108_at	7.916951788
248199_at	8.082649497
257919_at	6.585906897
261143_at	9.854265395
265648_at	8.53466687
263442_at	4.128412744
249903_at	6.448326978
255360_at	7.763830647
247177_at	6.90608883
261474_at	5.276279788
252378_at	4.702681484
264704_at	5.675277142
264289_at	9.219289545
261648_at	9.061577323
264728_at	7.236843945
259445_at	7.482334663
251336_at	8.138328884
253951_at	7.461682186
258792_at	9.048336819
259137_at	8.558564152
248821_at	6.489123626
259325_at	5.510394317
255900_at	6.224445618
265869_at	4.115213428
263452_at	3.590381453
262823_at	8.622383265
247913_at	5.52192329
247290_at	5.390395431
249691_at	7.355403026
264041_at	2.841015019
266316_at	9.963598687
264852_at	6.992185527
246313_at	3.266703049
247279_at	9.707614572
250415_at	4.088126591
266071_at	5.489741756
253489_at	8.414788497
259418_at	4.138155235
266658_at	8.170127544
262549_at	4.49635013
258621_at	5.41517626
255842_at	4.645826344
245711_at	8.661833155
256050_at	7.796538585
258295_at	8.182446143
266620_at	5.193870414
253891_at	7.813980014
253628_at	9.639313977
249423_at	3.829721304
253827_at	7.079145028
245797_at	5.479418005
256884_at	4.005647132
250335_at	8.049063097
255764_at	7.865681442
260581_at	4.523686304
266867_at	6.009757182
267537_at	7.361287388
261394_at	3.262158856
252652_at	6.658205586
248190_at	4.780629005
266246_at	7.003335702
258251_at	8.804738433
260068_at	3.339685586
263182_at	8.730688327
259753_at	4.511556262
260673_at	6.730505851
254520_at	5.426521287
247393_at	5.915974798
259179_at	4.14879932
251979_at	3.271408013
252179_at	5.423611707
251745_at	9.571464417
265632_at	5.289586879
248870_at	7.497397604
254432_at	8.700071894
252979_at	7.850745658
265732_at	7.860181456
262945_at	6.396520882
245632_at	6.252598077
254545_at	6.474358111
249747_at	5.714194203
246495_at	5.977615871
263478_at	9.153308674
247426_at	7.738698063
261545_at	7.386276438
254291_at	8.819154599
253956_at	5.591286281
265184_at	8.296636691
263471_at	6.514658525
245514_at	6.126943251
252878_at	8.634219825
252489_at	4.398391464
265682_at	3.81912071
256837_at	4.562640438
258394_at	8.152300618
256792_at	3.016222412
257794_at	7.100046036
247891_at	5.382777279
265959_at	7.154388406
259015_at	9.198565317
259160_at	4.536453006
261938_at	7.401837682
252908_at	8.109265674
265737_at	8.845907152
252131_at	7.82537015
253965_at	4.221140835
263915_at	4.475880547
245936_at	6.585604572
257827_at	4.480659514
263918_at	3.976201324
254125_at	4.293464746
257083_s_at	4.868731907
255844_at	6.303436793
250323_at	8.376477745
251544_at	6.034813157
256046_at	7.894479348
259448_at	3.606338635
247137_at	8.269946291
264008_at	8.679895012
262801_at	7.463551983
251143_at	5.880948017
253455_at	9.043130712
257999_at	5.32731278
252533_at	5.290996898
262912_at	5.159946383
255710_at	6.169526184
263873_at	6.526619418
252825_at	5.672446851
265938_at	7.33634583
258972_at	7.402672567
247919_at	3.053997457
245777_at	6.529747726
249746_at	8.212133716
265797_at	4.97423349
265867_at	7.827916915
247464_at	5.354033359
247533_at	4.246220943
255806_at	3.772046738
246631_at	10.28087396
251640_at	11.37778338
247452_at	5.595062666
262421_at	4.449092272
247166_at	6.531840748
259172_at	4.556301141
251704_at	10.29040374
253292_at	7.375468728
264512_at	5.624667662
249021_at	4.911977219
259979_at	9.963825895
255504_at	8.553633359
254408_at	5.766878994
253284_at	10.08529787
247261_at	8.694744073
257407_at	7.620558342
254585_at	5.820865339
257664_at	3.016306474
258078_at	5.38073743
253614_at	7.146606364
266772_s_at	4.393222345
257053_at	9.958958256
267357_at	10.45980281
258544_at	4.245338855
256396_at	5.190874665
262164_at	5.802482175
257785_at	8.139245347
252944_at	3.264340113
245032_at	3.063076343
264022_at	6.93086205
253139_at	10.41895749
254784_at	11.44685222
248719_at	9.677632057
247734_at	7.176818137
254188_at	6.050655957
249379_at	4.634067712
250198_at	4.221140835
256989_at	3.046324078
253181_at	5.942516539
258682_at	8.496329931
256891_at	8.693133161
261914_at	3.218490895
253780_at	8.506137768
266792_at	7.437164827
267592_at	4.860283703
246544_at	2.719824205
260037_at	10.202775
252278_at	9.258931748
264866_at	5.422985139
251576_at	3.530406373
252473_s_at	4.354762353
253958_at	9.533410128
264854_at	7.318609702
249984_at	8.961478208
266749_at	7.888974059
252470_at	7.139625178
256529_at	5.434659199
254559_at	10.1389535
250289_at	10.84319027
247708_at	9.207907812
261460_at	3.64723394
254586_at	5.491693077
252427_at	6.71423124
247610_at	4.539881565
264660_at	7.733873362
251494_at	9.462032198
260308_at	5.946873511
247629_at	3.289802663
258869_at	4.836746413
258074_at	5.395992556
262571_at	8.221034107
248014_at	7.901046745
259226_at	7.005471141
261225_at	8.991911053
249237_at	9.93413906
245985_at	9.445548381
259749_at	6.604652929
265626_at	8.908018347
261315_at	6.533353981
264624_at	11.17716415
263379_at	9.218124459
252864_at	5.81922364
251285_at	7.101676934
247240_at	7.749501726
250014_at	8.454163575
246194_at	6.759071002
257965_at	7.171700648
245272_at	4.452317307
267514_at	5.202744971
266717_at	5.210072413
267079_at	6.370024383
249471_at	7.085556313
254850_at	6.474969562
252474_at	9.767946618
254660_at	3.632636916
260397_at	9.633266464
264655_at	11.78415774
258442_at	2.716912467
251823_at	6.590327607
249258_at	5.399285458
251295_at	6.22948909
254422_at	9.169414818
265449_at	7.500112971
258519_at	8.374232869
259864_at	9.528593195
256861_at	8.273135722
259072_at	8.554755855
254686_at	8.451089902
264819_at	3.437158121
255511_at	5.822679427
248544_at	5.558134891
252155_at	6.626531705
253578_at	5.652330807
250566_at	2.473299324
266366_at	8.929449778
253972_at	7.92958016
258782_at	3.769301272
266097_at	10.18047403
256627_at	6.599682433
250999_at	5.391358552
251091_at	9.385610471
255043_at	5.729099326
248665_at	9.319375857
261700_at	6.89573626
263731_at	6.459730574
254229_at	2.81004145
260222_at	7.728752987
245066_at	7.364235357
248347_at	7.317018547
259728_at	3.330199299
258179_at	6.929481949
249589_at	8.533903415
247826_at	5.796375671
264161_at	6.134418635
260790_at	6.009299559
249078_at	9.046106302
260442_at	8.185227078
257646_at	5.03124131
249210_at	6.586937073
256866_at	6.585808908
255624_at	9.316192649
263859_at	6.549594941
248222_at	7.816384256
259074_at	6.398102203
246652_at	5.932624529
248636_at	7.151950666
265169_x_at	8.886451302
264347_at	4.928480204
256438_s_at	9.721235937
250682_x_at	7.698772043
266900_at	5.247409542
250683_x_at	7.540085823
254772_at	5.140733591
253667_at	10.35621948
251226_at	8.798151042
255140_x_at	7.230974775
266098_at	9.025948433
264565_at	5.648944197
247477_at	8.733884187
246229_at	5.786521263
259553_x_at	10.36509246
247094_at	7.277703504
257175_s_at	5.381437726
247600_at	6.575264718
266356_at	6.562270232
262427_s_at	10.19594313
251974_at	4.367314341
249205_at	9.472045085
252833_at	6.578510176
248790_at	9.619402178
263373_at	7.50876936
267094_at	5.739043259
250801_at	6.174771343
254767_s_at	9.23365323
258218_at	8.331967795
255751_at	7.443169566
263411_at	7.432701375
259854_at	7.368974291
251575_at	7.463869803
252537_at	8.129272732
247755_at	11.3185026
261985_at	6.491364736
245410_at	6.333464331
251010_at	7.541309117
251840_at	8.742718801
264260_at	10.18684137
250474_at	8.241448655
249596_s_at	4.950918562
253684_at	8.547439332
245688_at	11.20514265
253078_at	7.562614509
262883_at	6.667707006
254044_at	8.982649552
260466_at	6.754134752
255417_at	8.903698043
260803_at	8.904344405
261099_at	7.054805195
248178_at	8.4421221
263481_at	6.008903215
257080_at	6.683317563
250958_at	6.585808908
265188_at	9.500293735
265405_at	6.729850202
246913_at	7.024500859
248344_at	6.625543739
258745_at	8.534646481
248990_at	5.234303928
249755_at	6.49262044
254029_at	7.283327354
247059_at	8.686379148
246252_s_at	7.746857989
247648_at	6.499660287
256302_at	7.731890244
258521_at	10.26950525
261675_at	6.934885529
254915_s_at	9.347636302
260950_s_at	7.786609621
250469_at	8.115805853
255642_at	6.897053804
247337_at	8.946233778
257162_s_at	5.051949671
254213_at	7.275639767
246991_at	8.188202468
245956_s_at	10.28422111
261500_at	8.293692147
247634_at	6.837413461
256216_at	9.316511894
264386_at	9.025546405
253500_at	8.305039109
259947_at	6.429149535
246825_at	10.31186039
266184_s_at	7.50876936
264577_at	9.620880536
266737_at	6.890437535
253191_at	9.291635781
263137_at	10.87806164
263276_at	7.016821101
254079_at	7.846537683
250377_at	10.02937677
264375_at	6.415121175
250868_at	7.057708923
254076_at	9.172825294
246800_at	7.582550833
245574_at	5.861115657
253705_at	8.746153168
262655_s_at	4.214299271
247781_at	5.45538984
245878_at	6.480017406
248205_at	6.901723623
254284_at	5.818917489
255292_s_at	6.339310264
262504_at	9.706438904
258859_at	5.791248354
266687_at	8.158104689
247649_at	5.132904127
265463_at	5.515285771
248306_at	6.474744124
253073_at	10.43385811
265049_at	8.726463762
256864_at	7.77528556
260824_at	6.734933328
250546_at	8.217383075
261794_at	6.736429511
264338_at	8.503533864
263914_at	6.470665288
250982_at	5.371183784
250747_at	5.821150247
263047_at	8.081804083
253829_at	10.48790619
264902_at	6.547952641
AFFX-Athal-GAPDH_3_s_at	11.47706717
248708_at	6.617090859
265050_at	9.907325857
245697_at	6.966145944
248036_at	9.33326846
265250_at	6.794514377
247947_at	8.507510336
264960_at	8.951260106
259149_at	6.93035394
248526_at	7.384735977
252034_at	8.714420264
253763_at	4.56368489
246562_at	7.013449049
255823_at	4.179265211
248736_at	8.419003693
258474_at	7.539219007
253708_at	7.508314423
259596_at	7.7002135
249439_at	7.690243637
257146_at	7.968367157
264342_at	8.016025549
252859_at	7.728904461
247115_at	6.12602883
263073_at	10.61196285
248099_at	7.256963447
250848_at	6.172720951
256252_at	11.77454647
253340_s_at	8.326343616
253212_s_at	8.318453063
247984_s_at	5.534176016
253099_s_at	10.27795914
252606_at	8.666911915
253936_at	4.257036079
265864_at	4.175676227
267414_at	5.512239618
262518_at	10.70775752
261945_at	6.409473981
263892_at	6.273758405
254190_at	9.468134556
260363_at	4.723164226
262433_s_at	8.823484898
245387_at	8.616809346
266327_at	7.954675805
266308_at	3.365873189
252625_at	9.979634823
263090_at	3.51778472
252319_at	4.500663203
245886_at	8.615469037
262939_s_at	8.516894761
263797_at	8.574644167
247210_at	11.79517802
247442_s_at	10.69583137
246197_at	8.570667009
263929_at	9.574792256
247136_at	11.62294836
252147_at	6.396065633
254324_at	5.844246631
263016_at	8.450789534
251431_at	8.903640474
264563_s_at	4.223032958
247032_at	7.500224887
259309_at	6.285153552
262871_at	6.543396605
266758_at	6.881339246
254080_at	9.891310089
258515_at	9.652934124
247991_at	5.283373638
263519_at	10.10759476
265857_s_at	9.532168238
246300_at	7.202080437
251667_at	10.864133
257834_at	9.11859961
249169_at	4.087765007
265060_at	8.116338874
254561_at	9.715650849
256025_at	7.153028152
257684_s_at	9.932822894
254726_at	9.430293528
251783_at	10.65845356
256207_at	9.174367358
258816_at	9.825937537
249375_at	11.73010156
256199_at	6.248636842
250434_at	7.279824177
258633_at	6.871038283
254216_at	9.423204798
248793_at	7.239351691
259519_at	8.709300805
247841_at	7.834533295
256294_at	9.406242803
262796_at	9.836623452
248152_at	5.059870498
262236_at	5.204746116
247626_at	9.219015108
252991_at	11.12368251
259903_at	6.445951183
256070_at	8.158680007
263882_at	7.753943998
263492_at	5.199147048
250569_at	7.720122935
249286_at	5.296903245
265582_at	4.322050529
256888_at	7.01877468
252527_at	9.466789113
261032_at	7.914215281
247607_at	7.572121925
253741_at	7.019708986
256950_at	5.254254667
249045_at	11.2000453
253406_at	6.287675543
253695_at	8.364935773
260163_at	5.701223497
265114_at	4.370898632
258698_at	7.351289733
263629_at	5.818801417
264573_at	5.27923296
250825_at	7.996118396
247604_at	9.518361872
261853_at	7.321233694
267465_at	5.329173334
255981_at	7.645262736
263962_at	7.086450809
252276_at	9.130458173
256065_at	8.7771562
258006_at	7.670241074
258736_at	7.7626102
248249_at	7.729550537
259273_s_at	6.606149796
261362_s_at	11.43102333
256510_at	6.206772119
261783_at	8.257510958
248378_at	8.260767417
249315_at	8.667873214
260602_at	10.95161966
246912_at	5.383194678
252291_s_at	11.83626605
258410_at	10.16878419
245362_at	9.64583552
263153_s_at	9.683770457
261844_at	5.684589884
255783_at	8.201813103
259708_at	7.688795592
265252_at	7.675228114
249103_at	8.378586483
258555_at	9.538671927
261130_at	9.068498212
248806_at	5.759946391
251297_at	7.877310886
247978_at	11.82021169
257458_at	3.946172245
266330_at	12.23392273
253748_at	6.949900822
248718_at	9.828677716
267052_at	8.464603219
256890_at	10.33588899
258921_at	10.56123352
264922_s_at	8.1297804
263716_at	8.63773892
260910_at	7.121522835
247588_at	9.798254218
247939_at	6.938241529
259853_at	7.11906746
266079_at	7.05018974
258286_at	7.48206741
262077_at	9.440996018
245987_at	9.047907377
257560_at	6.490752033
255689_at	5.156811797
246855_at	9.83834959
261831_at	10.589646
251796_at	8.452044209
247933_at	8.514721524
246446_at	8.383984063
248556_at	5.803887996
265629_at	6.336659268
260521_at	7.663662382
247257_at	7.185960374
256905_at	9.106153196
251333_at	6.481635179
257798_at	11.50584364
259883_at	7.938734734
259240_at	6.276459301
252912_at	11.51035935
247551_at	8.368529679
263211_at	5.413629292
247298_at	8.364501165
259159_at	8.228031081
251997_at	12.16022533
262052_at	7.135931824
249812_at	10.89534412
250715_at	5.555130858
257125_at	9.356463792
265029_at	7.579531368
251037_at	9.187337379
250233_at	7.222893392
254560_at	8.50233953
257896_at	6.878807577
263382_at	5.936753359
263074_at	9.181512247
245989_s_at	8.526986997
262961_at	7.813795622
248668_at	6.759305351
259176_at	6.39986469
250352_at	8.155014254
262984_at	7.303274255
256797_at	8.623634004
251834_at	7.770530503
261891_at	7.929963942
264904_s_at	11.07907192
258821_at	10.65471652
264020_at	10.64163577
249014_at	8.269334486
253528_s_at	8.741128663
252879_at	7.58937753
245772_at	7.357293884
245523_at	10.55905698
264679_s_at	12.10672829
258086_at	9.177546799
258162_at	10.57701845
247990_at	8.9395893
254747_at	7.719087407
261381_at	5.466109062
265671_at	10.92396589
260000_at	6.619251083
264517_at	7.220217575
249818_at	8.17145228
259029_at	9.672173247
263532_s_at	7.418638269
253617_at	7.208329848
262274_at	7.511091535
262331_at	5.726733483
252234_at	11.33954505
253396_at	9.429589556
262239_at	7.827272325
246993_at	6.602479478
247584_at	10.9640026
250995_at	12.92153308
263430_at	6.926766499
266036_s_at	9.177887171
261079_s_at	8.941929952
246546_at	11.03605068
253596_s_at	7.023194231
265464_at	5.988257151
254798_at	7.197963558
246986_at	5.293470459
251963_at	8.07284621
260130_s_at	12.36955543
256002_at	9.389771674
267614_at	6.563710502
252150_at	8.452044209
245028_at	7.19087496
266980_at	10.09123625
247957_at	6.158566588
251045_s_at	2.457545055
260839_at	7.867111939
253558_at	8.396573501
257797_at	6.963547408
263548_at	11.77334723
255650_s_at	6.119998998
257198_at	8.247817607
264097_s_at	10.47310778
267003_at	6.836093718
248429_at	6.262592856
255629_at	11.38830076
258050_at	7.397229717
259194_at	10.14138825
263939_at	7.358257482
261964_at	3.044630574
257912_at	7.373427859
248608_at	9.351838783
246949_at	2.805056682
248773_at	6.118291554
248162_at	12.14120613
246242_at	3.304371801
250367_s_at	9.717017252
256241_at	11.25269382
257938_at	10.93576786
246191_at	10.64138814
266495_at	9.44328478
249268_at	8.406962587
256437_s_at	10.30747663
258369_at	8.476628443
266456_at	7.618325804
266705_at	9.115016774
262985_s_at	12.59146006
253487_at	11.54906718
267215_at	6.12414958
251349_s_at	5.548507296
253378_at	3.370295229
266981_at	11.65085416
253033_at	9.139921438
250553_at	9.719532117
258311_at	7.316300933
