ID_REF	VALUE
258947_at	6.035958705
252411_at	4.861135274
259629_at	3.946656684
261037_at	4.240567022
258606_at	5.722867498
263783_at	6.991401853
262536_at	6.728492574
264153_at	4.482137641
255795_at	4.118312137
261191_at	4.303419591
256526_at	4.638459427
248322_at	5.549432092
250257_at	5.671014441
263800_at	4.899534015
253048_at	3.310467241
249230_at	5.665028195
260656_at	8.744538873
248327_at	5.216307091
261470_at	7.602618495
250796_at	4.394839094
256057_at	5.448686465
264435_at	5.682671908
262745_at	7.376825454
249983_at	7.067541889
252084_at	4.714618086
249918_at	8.666230882
256442_at	5.681437896
256049_at	5.485753403
261488_at	5.184469773
253386_at	8.028042406
266545_at	7.405833608
250435_at	4.437521507
266821_at	7.066038141
247455_at	4.512133888
263760_at	6.520410166
251884_at	5.748995188
264597_at	5.63725632
249264_s_at	3.965835779
260982_at	7.049957717
258025_at	4.455329864
256076_at	7.377824738
262085_at	5.54116405
262383_at	6.856291304
245018_at	6.456768905
248282_at	4.861856275
267169_at	6.463330083
267069_at	6.906633921
252648_at	5.059264185
265853_at	4.74604825
265075_at	7.742183565
247848_at	4.263820111
267005_at	6.506837898
260744_at	7.263558804
246075_at	4.600081256
251744_at	6.319353771
253643_at	8.536615183
266800_at	9.1607236
265741_at	5.051312299
256856_at	5.86618719
245866_s_at	8.030587699
259791_at	4.673612356
249417_at	5.767364207
266455_at	6.591804142
259927_at	4.626784737
247215_at	7.409020358
249197_at	5.079847125
256763_at	6.470953997
260046_at	4.634409695
254255_at	3.042295937
247694_at	6.5286232
252181_at	8.005334414
266600_at	4.810231912
249932_at	4.021519607
264096_at	4.140215817
253859_at	6.379798612
252353_at	3.75627726
250075_at	6.161540566
254120_at	8.229456213
250098_at	6.971520623
251820_at	6.781596733
264434_at	5.684576832
247773_at	3.366297795
248873_at	4.22445556
254075_at	5.583731923
258495_at	5.611313181
250149_at	5.314406514
249002_at	5.760749024
260227_at	8.181553577
253632_at	4.877314947
267411_at	6.20575764
260155_at	7.251564035
259428_at	3.442796839
260876_at	5.931180626
249410_at	2.550927425
260481_at	9.925299676
252053_at	8.179695628
245776_at	6.355145856
251054_at	3.776262062
265276_at	7.577738085
264232_at	5.616329093
251507_at	4.745011237
247789_at	5.635501127
246226_at	7.494179831
252688_at	3.423586343
257954_at	4.155333447
252906_at	7.177342423
260696_at	5.234985213
262160_at	6.007174504
261476_at	6.501307844
251969_at	5.804294859
260769_at	4.643511485
246303_at	5.339680521
247208_at	6.516365234
251603_at	5.354215255
255599_at	5.539522178
260201_at	5.207766709
245840_at	5.122683278
261405_at	7.7857197
265742_at	6.01453396
247431_at	9.729755332
246927_s_at	3.264381973
249493_at	4.747051255
256009_at	5.062125414
267580_at	4.810560516
248978_at	6.737837877
261017_at	5.284398643
263533_at	6.168635105
267288_at	6.716789994
264758_at	8.610694535
252924_at	7.311027356
264954_at	6.953903633
258804_at	4.343931592
249191_at	3.908410435
248316_at	4.84827679
249719_at	8.705769465
247101_at	9.003090592
265713_at	4.388056461
257666_at	5.355762411
260399_at	5.758419993
251774_at	5.977636228
253962_at	2.930734152
265841_at	7.469977056
244998_at	8.30205936
254111_at	3.523071403
247693_at	6.902235599
264000_at	9.115749725
