ID_REF	VALUE
258947_at	5.139409063
252411_at	5.628139378
259629_at	4.168580449
261037_at	4.274137429
258606_at	5.763713063
263783_at	6.84374983
262536_at	7.801268517
264153_at	5.757299899
255795_at	5.0570978
261191_at	5.412456833
256526_at	5.355970704
248322_at	3.995528922
250257_at	6.528503012
263800_at	5.499261453
253048_at	4.302231691
249230_at	6.438973838
260656_at	9.175092392
248327_at	5.200534786
261470_at	7.561440435
250796_at	4.484807599
256057_at	5.021673087
264435_at	6.009076461
262745_at	7.683503695
249983_at	7.142937592
252084_at	4.613394922
249918_at	8.033189401
256442_at	5.71923741
256049_at	6.274019464
261488_at	5.760047285
253386_at	8.934698271
266545_at	6.571768902
250435_at	5.174025564
266821_at	6.972387118
247455_at	4.863639492
263760_at	7.527461408
251884_at	5.811898441
264597_at	5.889290583
249264_s_at	4.365726236
260982_at	7.08681914
258025_at	5.182833172
256076_at	7.992819563
262085_at	5.201091647
262383_at	7.879647601
245018_at	6.775968037
248282_at	4.821587653
267169_at	6.286106139
267069_at	7.227186558
252648_at	5.617210307
265853_at	5.300222822
265075_at	8.024347158
247848_at	5.429681076
267005_at	6.961684956
260744_at	7.301390408
246075_at	4.155429345
251744_at	6.790631152
253643_at	8.403117141
266800_at	9.379838532
265741_at	5.886215831
256856_at	6.058128983
245866_s_at	7.957917524
259791_at	4.855484066
249417_at	6.264431658
266455_at	5.977781688
259927_at	4.786658404
247215_at	5.735333311
249197_at	5.039671879
256763_at	6.241336895
260046_at	4.630514144
254255_at	2.967091979
247694_at	6.578286945
252181_at	8.785697855
266600_at	5.560913479
249932_at	4.007299689
264096_at	4.557152832
253859_at	5.630099956
252353_at	4.131688095
250075_at	6.706851655
254120_at	8.746346803
250098_at	6.728325972
251820_at	7.519555041
264434_at	6.65961287
247773_at	3.815708903
248873_at	4.368116479
254075_at	5.856473428
258495_at	6.266547901
250149_at	5.124659075
249002_at	6.148243373
260227_at	7.941161655
253632_at	4.41781035
267411_at	6.972721382
260155_at	8.067797163
259428_at	3.893740097
260876_at	6.119371879
249410_at	3.015976837
260481_at	10.4039863
252053_at	8.372280823
245776_at	6.441477077
251054_at	4.503978199
265276_at	7.308449523
264232_at	5.951592108
251507_at	5.351506976
247789_at	5.271303413
246226_at	7.815595438
252688_at	4.100605155
257954_at	4.301842039
252906_at	7.540509774
260696_at	5.326382417
262160_at	6.290289322
261476_at	6.32148281
251969_at	6.276279642
260769_at	4.888379469
246303_at	5.521762947
247208_at	6.583474777
251603_at	5.619559165
255599_at	5.479651208
260201_at	5.40092494
245840_at	4.710506442
261405_at	7.466833678
265742_at	6.406466994
247431_at	9.685424461
246927_s_at	3.780990513
249493_at	5.005264152
256009_at	4.886780612
267580_at	4.684437381
248978_at	6.331840638
261017_at	4.789009164
263533_at	6.846925491
267288_at	6.991555185
264758_at	8.294927393
252924_at	6.735811047
264954_at	7.458090889
258804_at	4.634268885
249191_at	3.571966043
248316_at	4.182713101
249719_at	8.692660805
247101_at	8.935060914
265713_at	4.388974219
257666_at	5.570904687
260399_at	6.017990702
251774_at	6.345654872
253962_at	3.366832616
265841_at	7.16159547
244998_at	7.73954352
254111_at	3.43823974
247693_at	7.121873001
264000_at	8.872447363
250676_at	9.39523283
253693_at	7.803063941
249928_at	7.015540013
253039_at	8.181556489
246429_at	4.917742929
254580_at	7.241031462
255884_at	5.879133045
266017_at	10.19532875
262105_at	6.614012297
260406_at	5.418984445
254256_at	5.434861599
252060_at	5.434861599
246108_at	7.58646865
248199_at	8.439862689
257919_at	6.252812071
261143_at	9.681251638
265648_at	8.293108661
263442_at	4.388261904
249903_at	5.991796788
255360_at	7.916166104
247177_at	6.929142398
261474_at	5.234074571
252378_at	4.733755991
264704_at	5.23229043
264289_at	8.703825015
261648_at	8.875467558
264728_at	7.277147285
259445_at	7.280253549
251336_at	7.772937711
253951_at	7.620050185
258792_at	9.027813952
259137_at	8.588847753
248821_at	6.002107657
259325_at	5.200837952
255900_at	6.269179182
265869_at	4.060806066
263452_at	3.484220982
262823_at	8.80270273
247913_at	5.936430035
247290_at	5.009595663
249691_at	7.309309339
264041_at	3.552103233
266316_at	9.583006087
264852_at	6.773666003
246313_at	2.930321101
247279_at	9.375132902
250415_at	3.820878281
266071_at	5.774060104
253489_at	8.657301276
259418_at	4.235388535
266658_at	8.27863377
262549_at	4.211331986
258621_at	5.934382206
255842_at	4.804222564
245711_at	8.661340141
256050_at	7.681358098
258295_at	8.357506557
266620_at	5.239812184
253891_at	7.568291122
253628_at	9.581428613
249423_at	3.649457854
253827_at	6.86164363
245797_at	5.496570498
256884_at	3.889047471
250335_at	8.131931095
255764_at	7.993870601
260581_at	4.977237545
266867_at	5.889673565
267537_at	7.30195382
261394_at	3.126081921
252652_at	6.611438581
248190_at	5.37329761
266246_at	7.133083158
258251_at	8.804095811
260068_at	2.970101287
263182_at	8.554552889
259753_at	3.857903209
260673_at	7.421562315
254520_at	5.494493439
247393_at	5.839604738
259179_at	4.065842971
251979_at	3.452806265
252179_at	5.046154565
251745_at	9.257168701
265632_at	5.072920042
248870_at	7.485387959
254432_at	8.678011408
252979_at	7.926130917
265732_at	7.815667744
262945_at	6.806789978
245632_at	6.303969914
254545_at	7.014568647
249747_at	5.375544204
246495_at	6.173108079
263478_at	8.907628565
247426_at	7.52012454
261545_at	7.233241542
254291_at	8.688478096
253956_at	5.474278726
265184_at	8.402399595
263471_at	6.588185012
245514_at	6.418281841
252878_at	8.745460818
252489_at	4.497359458
265682_at	4.107491961
256837_at	4.835818505
258394_at	8.227361477
256792_at	3.051771715
257794_at	7.12151285
247891_at	5.431824484
265959_at	7.144174706
259015_at	9.454887954
259160_at	4.738208554
261938_at	7.227818504
252908_at	8.082420429
265737_at	8.469303417
252131_at	7.546778349
253965_at	4.459692597
263915_at	5.027684753
245936_at	6.485295122
257827_at	4.522977577
263918_at	4.038246466
254125_at	3.984727188
257083_s_at	4.669916495
255844_at	5.941543208
250323_at	8.419643794
251544_at	6.661060952
256046_at	7.708949685
259448_at	3.283622901
247137_at	7.820738924
264008_at	8.71395472
262801_at	7.617958544
251143_at	6.06951295
253455_at	9.128602288
257999_at	5.560463946
252533_at	5.174025564
262912_at	5.700662928
255710_at	6.679066748
263873_at	6.463271181
252825_at	5.991854522
265938_at	7.102764078
258972_at	7.465027381
247919_at	2.84725871
245777_at	6.396558325
249746_at	7.948351308
265797_at	4.708402262
265867_at	7.795276133
247464_at	5.613085898
247533_at	4.21601575
255806_at	3.684267178
246631_at	10.07850981
251640_at	11.15103412
247452_at	5.640248944
262421_at	4.919269205
247166_at	6.721370836
259172_at	4.773687647
251704_at	10.12515936
253292_at	7.224888195
264512_at	5.730388581
249021_at	5.319384984
259979_at	9.96031279
255504_at	8.618533442
254408_at	5.577150911
253284_at	9.878186727
247261_at	8.908205703
257407_at	7.10884898
254585_at	6.197594697
257664_at	2.927721232
258078_at	5.581199335
253614_at	7.295383683
266772_s_at	4.787458412
257053_at	9.962889689
267357_at	10.51423204
258544_at	3.928024017
256396_at	5.195835989
