Reporter Identifier	VALUE
1	0.172833562
2	0.188172317
3	0.201174950
4	0.413466327
5	0.000000000
7	1.220678562
8	0.726160490
9	1.403203254
10	3.039527365
11	0.237513136
13	0.197422101
14	1.136592341
15	0.456059370
16	0.926340900
17	1.029913730
19	0.347671481
21	0.804634952
22	0.641605471
23	2.080771539
25	0.196164163
26	0.440559168
27	1.606418315
28	1.194589705
29	0.277381645
31	0.208881188
32	1.030952101
34	0.802440508
35	0.674734497
37	0.379835002
38	0.957066152
39	0.453502122
40	0.262024012
41	0.921108269
43	0.575856881
44	0.997947196
45	0.773362930
46	1.038244032
47	0.608813867
49	0.032756753
50	6.331068266
51	1.308986955
52	0.699808626
56	0.476862866
57	1.285133182
58	0.519216008
59	0.592603651
61	0.317077768
62	0.905404918
63	0.551058521
64	0.823222065
67	0.932540365
68	0.121869681
69	0.305516348
70	0.426370591
71	0.437515198
73	0.314046412
74	0.472143285
75	0.930461421
76	0.871372965
77	3.328310127
79	0.213055234
80	0.713608387
81	0.869934825
82	1.502759073
83	0.353519612
85	3.815027158
86	1.296794701
87	0.270098205
88	0.661582957
91	0.197894008
92	0.722447801
94	1.284541170
98	0.605392606
99	0.487056227
100	0.539670852
101	0.466996645
103	0.447003217
104	0.250046124
106	0.146850857
107	0.864554067
110	0.943526047
111	1.416086834
113	0.223144012
116	0.379922180
117	0.196768481
119	0.526669090
121	1.301837689
122	0.647049741
123	0.000000000
124	0.970091336
125	0.736395754
126	0.000000000
128	1.404631109
131	0.000000000
133	3.201353889
134	0.187662959
135	0.533409472
136	0.229891530
137	0.230581976
139	0.724979650
141	1.553090927
142	0.281905242
143	0.616407781
144	0.000000000
149	0.664921923
151	0.487576029
152	0.955335080
153	0.753915556
154	0.373264884
155	0.646656280
156	0.000000000
157	0.869835108
158	0.357304883
159	2.205620584
160	3.663933444
161	0.361500263
162	0.000000000
163	0.645828618
166	1.151431696
167	0.796915898
168	0.000000000
169	0.600276029
170	0.000000000
171	1.010022014
172	0.537692507
173	0.707191376
174	0.000000000
175	0.915432973
178	0.460651084
179	0.234471179
183	0.602736384
184	0.000000000
185	6.814136899
190	0.441615460
191	0.673924137
192	0.000000000
194	0.387751695
195	0.586378527
196	0.934725833
197	0.680887437
198	0.000000000
199	0.151931631
200	0.219311522
201	0.470189481
202	0.330959536
203	0.255407373
205	0.666515609
206	0.830881215
207	0.779341096
208	0.000000000
209	0.000000000
210	0.000000000
211	0.545078889
212	0.780438219
213	1.021748311
214	0.996859520
215	0.366949491
217	2.000494952
219	0.803296006
220	0.926903242
221	0.205535896
222	0.000000000
223	0.408713234
224	0.000000000
225	0.987965782
227	0.686576620
230	1.950704070
232	1.282142126
233	0.169442199
234	0.000000000
235	0.554630087
236	0.915366652
237	1.056463716
238	1.435537794
239	0.291894211
243	0.000000000
244	2.051636287
245	0.951285072
246	0.000000000
247	0.991893570
248	0.952864066
249	0.554199989
250	0.694684193
251	5.022153846
253	0.830801290
254	0.397673642
255	0.417298137
256	0.924432860
257	1.074866721
259	0.285070917
260	0.547889060
261	0.676988349
262	0.918547922
263	0.874275488
265	17.305471740
266	0.456298163
267	1.173245730
268	0.733661615
271	1.635863394
272	1.207865168
273	0.776022312
274	0.563601260
277	0.963257824
279	0.399664234
280	0.899363557
281	0.250000367
283	0.506428989
284	0.832475242
286	1.729187321
287	1.294082110
289	0.172693378
290	0.800273995
291	0.443688980
292	0.398664918
295	1.411850726
296	1.539252095
297	0.662929345
299	0.605431409
301	0.748440108
302	1.736592230
303	0.173189828
304	1.334197632
307	0.819230045
308	0.660529502
310	0.536687396
311	2.393697253
313	0.504840936
314	1.001479649
315	0.549537964
317	0.217732557
319	0.406175800
320	0.350377679
322	0.892959598
323	0.505514478
325	1.205291405
326	0.398579878
327	0.727530494
328	1.336284109
329	1.005860285
331	0.745559700
332	0.677922883
333	0.646420191
334	0.571651790
335	0.921637664
337	0.749000100
338	0.537240010
339	1.090031617
343	1.389133196
344	1.145955312
345	0.150263864
347	0.281064582
349	1.241585872
350	0.552747485
351	0.885295395
352	0.694462086
353	0.649999178
355	0.614571717
356	0.955437311
357	1.363093567
358	1.392710586
359	1.314763519
361	0.351622434
363	0.000000000
364	0.715339189
365	0.572949738
368	0.531879522
369	1.952202053
370	0.717730576
371	6.838540282
373	0.709740829
374	0.498747939
376	6.429766004
377	0.507440290
379	1.212134429
380	0.715813297
381	0.698912573
382	0.769232608
386	1.349101734
387	0.689026335
388	1.007597136
392	0.544103276
