Reporter Identifier	VALUE
1	0.525705372
2	0.341703368
3	0.285535343
4	0.528768826
5	0.130203106
7	2.417780012
8	0.153286553
9	2.247803085
10	0.732787501
11	0.201012823
13	0.305799525
14	0.554902664
15	0.079038762
16	1.267688613
17	0.928863749
19	0.441698716
21	0.867447082
22	0.453622616
23	2.085887111
25	0.485771847
26	0.238425204
27	0.907021439
28	0.362971361
29	0.259435839
31	0.257453381
32	0.416759163
34	0.452704594
35	0.249812959
37	0.955323731
38	0.176445799
39	0.111800455
40	0.172650699
41	0.138920301
43	0.441403220
44	0.074235383
45	0.283375538
46	0.174568009
47	1.719509551
49	0.680370778
50	0.875592886
51	0.129907512
52	0.459227945
56	0.250417750
57	1.082540822
58	0.300815533
59	0.064622031
61	0.091079640
62	0.314230816
63	0.000000000
64	0.060994932
67	3.747114617
68	0.266165246
69	0.433016722
70	0.865223685
71	0.252841080
73	0.179699443
74	0.089850546
75	0.444167761
76	0.215270624
77	2.255934902
79	0.395222464
80	0.390558020
81	0.886766821
82	0.208489278
83	0.138890741
85	15.003177270
86	1.448024696
87	0.000000000
88	0.000000000
91	0.179897608
92	0.281686737
94	1.488461426
98	0.573266603
99	0.441849822
100	0.295482697
101	0.584432081
103	0.000000000
104	0.000000000
106	0.000000000
107	0.000000000
110	0.199742362
111	1.549723847
113	0.357899680
116	0.014794254
117	0.000000000
119	0.000000000
121	0.399780265
122	0.328479701
123	0.012725366
124	0.459491899
125	0.267468402
126	0.000000000
128	0.709678732
131	0.000000000
133	16.736779180
134	0.555898554
135	0.324832430
136	0.203673841
137	0.143542426
139	0.660580971
141	0.082692873
142	0.276564706
143	0.311942555
144	0.000000000
149	0.206858562
151	0.398334573
152	0.483121160
153	0.235214857
154	0.241107591
155	0.213876341
156	0.000000000
157	0.175984036
158	0.178583186
159	0.075763232
160	14.124062180
161	0.122470480
162	0.000000000
163	0.316348262
166	0.169177863
167	0.233837637
168	0.000000000
169	0.171239508
170	0.000000000
171	0.161189786
172	0.745647491
173	0.148118061
174	0.000000000
175	0.937095660
178	0.604098940
179	0.138008386
183	0.128394913
184	0.000000000
185	0.860236800
190	0.120465958
191	0.113265568
192	0.000000000
194	0.101003434
195	0.035894602
196	0.262465014
197	0.153565811
198	0.010118250
199	0.608197945
200	0.245273396
201	0.680184382
202	0.164602026
203	0.304349102
205	0.342358752
206	0.766746142
207	0.172894819
208	0.000000000
209	0.000000000
210	0.028434466
211	0.295280280
212	0.176921989
213	0.190375815
214	0.269174829
215	0.335124508
217	4.232821873
219	0.509916013
220	0.140240830
221	0.128923663
222	0.000000000
223	0.388922720
224	0.017057525
225	0.134729711
227	0.235930076
230	0.358698687
232	0.238381139
233	0.386544385
234	0.000000000
235	0.170382680
236	0.222937606
237	0.125965848
238	0.196004104
239	0.267864775
243	0.000000000
244	0.449876520
245	0.273055444
246	0.000000000
247	0.896130142
248	0.067618098
249	0.100170417
250	0.109675896
251	0.275314744
253	0.052801463
254	0.239491125
255	0.036108967
256	0.175340891
257	0.333353054
259	0.330740159
260	0.000000000
261	0.340021598
262	0.000000000
263	0.511496861
265	99.999999999
266	0.000000000
267	0.000000000
268	0.000000000
271	5.732656604
272	0.259811984
273	0.182653083
274	0.351878619
277	4.197437891
279	0.438215667
280	0.749626458
281	0.000000000
283	0.627992943
284	0.345494329
286	0.152716488
287	0.654112016
289	0.421908297
290	0.574302454
291	0.268192264
292	0.193959895
295	0.374456774
296	0.900641601
297	0.271481394
299	0.504336204
301	0.115351987
302	1.068393346
303	0.200160200
304	0.332157819
307	0.000000000
308	0.208560076
310	0.000000000
311	4.485660940
313	0.252502249
314	1.107825553
315	0.517094618
317	0.222096468
319	0.149461322
320	0.181418042
322	0.158339748
323	0.278767433
325	1.208124389
326	0.836955253
327	0.316383670
328	0.738729594
329	0.728101104
331	0.533971107
332	0.327347326
333	0.848463728
334	0.374893794
335	0.136898021
337	0.369138423
338	0.272801049
339	0.517594253
343	0.876517541
344	0.518804965
345	0.160702161
347	0.154016623
349	0.668703336
350	0.122619176
351	1.069901378
352	0.190029110
353	0.433475996
355	0.284617143
356	0.261366074
357	0.506029213
358	0.370555449
359	0.178991525
361	0.237417303
363	0.000000000
364	0.293846354
365	0.271536413
368	0.279553941
369	3.470175594
370	0.126800121
371	0.517921902
373	0.224363182
374	0.869739618
376	1.346514656
377	0.068887973
379	0.718586876
380	0.649059422
