Root.MES.1	Root.MES.2	Root.MES.3	Root.ATP.1	Root.ATP.2	Root.ATP.3	ATP.raw.pvals.present	ATP.fdr.pvals.present
244946_at	5.47490194064576	4.8158170304009	4.72178818632255	5.19025725488064	2.03753031923159	4.39030213779593	0.354301089669213	0.612121453683917
244947_at	5.15794115274895	5.06766890897716	4.79407058160027	3.58278365716486	2.09821986860407	2.46084186974151	0.0300450201088512	0.289733740217009
244948_at	1.87973996635727	2.84615201816355	4.54307617754746	2.64990234803085	0.577273715793806	4.61860877229408	0.754560950513603	0.879575596954992
244949_at	4.54790312102409	3.82798729718669	3.85491232696676	1.36499405727307	1.93757830217452	5.02153212181664	0.370209899982427	0.626171108148053
244950_at	7.16053006393556	7.43765637204345	7.70619498032535	7.86905523900125	7.53016579544186	7.56054974633028	0.324332796224018	0.588738772159691
244951_s_at	9.16061448716934	9.3395609233983	9.6055423188875	9.6990504525166	9.27035184945648	9.39724609887354	0.656483390269497	0.823050976278646
244952_at	3.96619075583535	3.79930707064424	3.75063307099949	4.24257551843813	3.24113489538199	4.27977511358876	0.832664238226834	0.92333841876296
244953_s_at	7.48538206105637	8.06078078955424	8.17421829737313	7.90227395606326	7.44173802857804	7.1551112343912	0.252487487394824	0.527534908187916
244954_s_at	4.58059997069616	4.08090835858874	5.11166724310701	4.52980377093261	4.65812139907172	5.00244610324807	0.702614469825625	0.849993956866747
244955_at	4.40468208738364	3.33127169933208	1.44245267791468	4.22581723962023	3.57730063527043	4.0327696714831	0.414964147605441	0.660756175000356
244956_s_at	4.8819182944661	5.56710861862743	5.47708234419923	4.9906258649327	4.82467849222621	4.80308724308449	0.172800613305968	0.449644306355136
244957_at	5.49892584702104	6.40459156124519	4.66577681984108	5.84185335748962	5.62964002310621	5.98067017452236	0.619790815723723	0.798598457370465
244958_at	4.52024765063912	4.77070793761638	4.85131391512054	4.85637950734519	4.76851834596016	5.42540465190439	0.280750901755816	0.551777362489243
