ID	logFC	P.Value
247443_at	0.740903755	0.241971645
247444_at	-0.131185198	0.664406269
247445_at	-0.528711016	0.018868283
247446_at	-0.223924469	0.027333707
247447_at	-1.330099833	0.467904715
247448_at	0.060987526	0.878665961
247449_at	0.304012386	0.051391263
247450_at	0.027150817	0.919326423
247451_at	-2.053076663	0.048043526
247452_at	0.219156513	0.398272324
247453_at	-0.325423886	0.160431645
247454_at	-0.677928693	0.015089137
247455_at	1.423512357	0.032364759
247456_at	0.404923879	0.302330875
247457_at	-0.052707079	0.875050892
247458_at	-0.103427227	0.644090865
247459_at	0.099099924	0.532752795
247460_at	-0.259639488	0.002574747
247461_at	-0.919170456	0.008610057
247462_at	0.800123268	0.436483431
247463_at	-1.584753021	0.088997548
247464_at	0.744186357	0.101812824
247465_at	-0.374538935	0.237041946
247466_at	-0.234395564	0.441024385
247467_at	0.313667156	0.229990871
247468_at	0.150753035	0.212747856
247469_at	-1.126411324	0.022815393
247470_at	0.431524058	0.245367228
247471_at	-0.445118716	0.353519174
247472_at	0.388762291	0.307310782
247473_at	-0.393003356	0.173184779
247474_at	0.282230765	0.147004781
247475_at	-0.809002668	0.284489045
247476_at	-2.11890089	0.134611096
247477_at	-1.371047208	0.020516336
247478_at	0.588373288	0.279256342
247479_at	-2.170425349	0.171479144
247480_at	0.019160669	0.933090981
247481_at	-0.573404869	0.605833299
247482_at	-0.508524845	0.035780946
247483_at	1.065797994	0.448867651
247484_at	1.082910408	0.412454733
247485_at	0.483634003	0.376449772
247486_at	1.655866952	0.122655652
247487_at	-0.021334998	0.799693013
247488_at	-0.247765827	0.235911349
247489_at	-0.056569817	0.680664808
247490_at	-0.287569499	0.833037611
247491_at	-0.136154243	0.125198681
247492_at	-0.193503829	0.482410521
247493_at	0.509364154	0.082828498
247494_at	-0.838633309	0.018516925
247495_at	-0.112115848	0.250690466
247496_at	-0.207901899	0.342079952
247497_at	-0.412572054	0.002716815
247498_at	-0.070403856	0.740499457
247499_at	-0.237258155	0.069221353
247500_at	-0.476966883	0.111620706
247501_at	-0.154276008	0.32375251
247502_at	0.062065284	0.957364788
247503_at	-0.368277752	0.232285757
247504_at	-0.166865834	0.401488378
247505_at	-0.491454811	0.01489524
247506_at	0.110652201	0.402851331
247507_at	0.202049901	0.516016722
247508_at	-0.4486807	0.089104319
247509_at	0.35898822	0.033340734
247510_at	-0.377363101	0.063342171
247511_at	2.459713966	0.178291916
247512_at	0.271607051	0.338590379
247513_at	0.276713773	0.091533683
247514_at	-0.019372698	0.937590774
247515_at	-1.954071707	0.164600203
247516_at	1.229924236	0.279283237
247517_at	-0.264772832	0.078866744
247518_at	-0.354681665	0.232863352
247519_at	-0.064972533	0.520872409
247520_at	-0.188032177	0.326152904
247521_at	-0.245069911	0.087075129
247522_at	-0.45159574	0.026412389
247523_at	1.156234881	0.088788464
247524_at	0.756596841	0.050053165
247525_at	0.010478856	0.939923686
247526_at	-1.356491769	0.117436452
247527_at	-0.379709536	0.315647722
247528_at	-0.576709904	0.224949211
247529_at	1.567962422	0.129312164
247530_at	-0.110909561	0.717181092
247531_at	-2.493361523	0.039714652
247532_at	-0.195221392	0.506625297
247533_at	0.982456386	0.013659318
247534_at	-0.175839561	0.194862794
247535_at	-0.378319192	0.420754219
247536_at	-0.433198401	0.238134401
247537_s_at	0.778802651	0.167398345
247538_at	0.188153761	0.428791706
247539_at	-1.110371568	0.156405543
247540_at	0.161767196	0.557318413
247541_at	0.69316251	0.061191958
247542_at	-0.167888447	0.168334292
247543_at	0.216966165	0.588952952
247544_at	0.191118328	0.493716241
247545_at	-0.085839306	0.574979007
247546_at	0.05765649	0.948039857
247547_at	-0.174628927	0.552578102
247548_at	1.56406729	0.113097037
247549_at	-0.022913445	0.934164694
247550_at	-0.252044749	0.714045073
247551_at	-0.417293197	0.026184744
247552_at	-0.346007131	0.079515459
247553_at	0.840151093	0.58568437
247554_at	-0.114455197	0.803873465
247555_at	-0.453505316	0.093065026
247556_at	0.013885378	0.971987638
247557_at	-0.268909089	0.547834473
247558_at	0.126355084	0.324339826
247559_at	-0.890148173	0.108879737
247560_at	-0.202649733	0.374401067
247561_at	-1.97240974	0.15761511
247562_at	1.549100972	0.385906908
247563_at	0.282820066	0.265777188
247564_at	-0.51416309	0.028864826
247565_at	-0.709233004	0.061735412
247566_at	-0.24755249	0.313656943
247567_at	-0.595552145	0.162469567
247568_at	0.10774328	0.716897757
247569_at	0.002599844	0.984710576
247570_at	-0.333560564	0.466394572
247571_at	0.418973894	0.056189292
247572_at	-0.238546381	0.31760124
247573_at	1.919546514	0.224456716
247574_at	-0.101137265	0.666811098
247575_at	-0.810348042	0.003699496
247576_at	-0.334654851	0.328835383
247577_at	-0.30498918	0.162938934
247578_at	-0.309439617	0.278643011
247579_at	-1.194285588	0.233802437
247580_at	-0.041218892	0.729373241
247581_at	-1.628736448	0.058425487
247582_at	-0.475144237	0.096486803
247583_at	0.243997376	0.017489424
247584_at	-0.597024945	0.094787859
247585_at	0.644101639	0.005511988
247586_at	-0.537326045	0.001630107
247587_at	-0.083995271	0.415479919
247588_at	-0.534799523	0.018520552
247589_at	-0.738287237	0.02692186
247590_at	-1.08622835	0.007741551
247591_at	0.524180828	0.471751067
247592_at	-0.103258586	0.814910715
247593_at	-0.132968641	0.446753452
247594_at	0.396596974	0.302590957
247595_at	0.130976417	0.169991817
247596_at	0.098665175	0.869871774
247597_at	0.900610919	0.082241174
247598_at	-0.079088565	0.794568475
247599_at	-0.301332968	0.856664415
247600_at	-1.096098832	0.019359066
247601_at	0.308023072	0.205873931
247602_at	-0.960498494	0.492864017
247603_at	-0.388708398	0.236970301
247604_at	-0.364703979	0.17969793
247605_at	1.802589601	0.281801182
247606_at	-0.619426368	0.006932373
247607_at	-0.448874281	0.092457847
247608_at	-0.057242723	0.543872169
247609_at	-0.016162164	0.933001005
247610_at	0.381749078	0.168461112
247611_at	0.048827432	0.820403036
247612_at	-0.389660057	0.153749708
247613_at	-0.629007256	0.431237596
247614_at	1.15049371	0.092812914
247615_at	-0.359198273	0.595732952
247616_at	0.186867786	0.738918358
247617_at	0.35481811	0.239058797
247618_at	-0.283936188	0.518311265
247619_at	-1.012103419	0.255776099
247620_at	-1.211433297	0.290373108
247621_at	0.104597609	0.946919678
247622_at	-0.238815352	0.610798447
247623_at	-1.269716144	0.440125111
247624_at	-0.090102237	0.63445748
247625_at	-0.558144276	0.177515249
247626_at	-0.635613673	0.012421509
247627_at	-0.419532849	0.099686809
247628_at	-0.258011493	0.482626306
247629_at	0.590482947	0.44289341
247630_at	0.101260158	0.280645999
247631_at	-0.553673744	0.157277269
247632_at	-0.26161724	0.222049887
247633_at	-0.084528039	0.96595686
247634_at	-0.974346097	0.027336733
247635_at	-0.548563986	0.014769529
247636_at	-0.259290576	0.249151208
247637_at	0.932466737	0.029262292
247638_at	-0.621798108	0.053445242
247639_s_at	0.500996269	0.700660644
247640_at	0.128106246	0.518656896
247641_at	0.228637431	0.250629412
247642_at	0.222001424	0.554369549
247643_at	0.226684166	0.484506249
247644_s_at	-0.292312744	0.0251664
247645_at	-0.640588626	0.129262099
247646_at	-0.288316764	0.832173273
247647_at	1.055628113	0.391766914
247648_at	-1.462702894	0.00147663
247649_at	-0.68252052	0.049873537
247650_at	-0.213540111	0.279485773
247651_at	-0.199036853	0.002274859
247652_at	-0.195723111	0.242524952
247653_at	-0.120822212	0.08867007
247654_at	-0.030286222	0.819337421
247655_at	0.439501626	0.013563891
247656_at	0.008136706	0.96020766
247657_at	-0.625356132	0.0159158
247658_at	0.005711511	0.944096062
247659_at	-0.942032098	0.055890323
247660_at	0.064641687	0.964606988
247661_at	-0.980012698	0.46803525
247662_at	0.402480854	0.695656924
247663_at	0.23982102	0.772387293
247664_at	-0.114396036	0.66435164
247665_at	-0.529267878	0.065501921
247666_at	0.369182839	0.817947037
247667_at	-0.599783487	0.044904362
247668_at	0.757296314	0.101287278
247669_at	0.27110562	0.209488507
247670_at	-0.100442131	0.373140267
247671_at	-0.293430411	0.277889129
247672_at	0.297206008	0.808369905
247673_at	0.016450584	0.92217947
247674_at	-0.240656527	0.353402714
247675_at	-0.625639626	0.036926232
247676_at	-0.357926454	0.274080034
247677_at	-0.151083222	0.22917693
247678_at	-0.590159271	0.037497553
247679_at	0.100592456	0.532558362
247680_s_at	-1.074379939	0.491003696
247681_at	1.46326794	0.279415895
247682_at	-0.562630367	0.08872052
247683_at	-0.786008122	0.529497896
247684_at	0.805131646	0.63917399
247685_at	0.113475502	0.764414642
247686_at	-0.020031676	0.970332992
247687_at	-0.52438388	0.020367916
247688_at	-1.210997151	0.214647636
247689_at	0.496974174	0.088377102
247690_at	0.602650998	0.202709693
247691_at	-0.213391503	0.562059963
247692_s_at	-0.112512757	0.601898248
247693_at	0.920008663	0.007071878
247694_at	1.237512952	0.014505171
247695_at	-0.207279839	0.475013795
247696_at	-0.54879694	0.063787558
247697_at	-0.588090631	0.351457798
247698_at	-0.046976346	0.851538599
247699_at	-0.137856199	0.247409505
247700_at	-0.221066243	0.817396281
247701_at	-0.439051353	0.015529718
247702_at	0.011290075	0.956670363
247703_at	0.035726616	0.873487982
247704_at	0.033693974	0.867274809
247705_at	-0.09406638	0.278486021
247706_at	0.248229974	0.378281886
247707_at	-0.363018798	0.214577745
247708_at	0.551926674	0.072132152
247709_at	1.040770972	0.025520025
247710_at	0.049204127	0.919726579
247711_at	-1.485600258	0.397140654
247712_at	-0.151525567	0.487707882
247713_at	-0.040194827	0.972937226
247714_at	-0.054325191	0.877978592
247715_at	-0.077122896	0.852485762
247716_at	-0.005906565	0.978737352
247717_at	-0.359590637	0.174146866
247718_at	-1.556390072	0.283807868
247719_at	-0.63607943	0.413552841
247720_at	-0.299427123	0.173657312
247721_at	0.032111863	0.660969468
247722_at	-0.436285983	0.025941717
247723_at	-0.512115405	0.290495138
247724_at	-0.180668644	0.295767473
247725_at	-0.254453434	0.247642821
247726_at	-0.201321543	0.079766182
247727_at	0.569804743	0.031664276
247728_at	1.981648449	0.19479937
247729_at	-0.840234973	0.143556551
247730_at	0.870050763	0.370989889
247731_at	-0.555646154	0.074941565
247732_at	-1.035408416	0.379386828
247733_at	-0.055857234	0.72596102
247734_at	0.398500228	0.148424577
247735_at	0.010747994	0.930166221
247736_at	-0.495109612	0.116881129
247737_at	-0.91774197	0.313019133
247738_at	-0.251239016	0.006597882
247739_at	-0.590695273	0.012913795
247740_at	-0.383902288	0.117806002
247741_at	0.171116991	0.509276419
247742_at	-0.259843369	0.22807394
247743_at	-0.03003429	0.938036863
247744_at	-0.716210227	0.034350469
247745_at	0.80881979	0.006425573
247746_at	0.024130569	0.773557078
247747_at	0.024655078	0.950006308
247748_at	-0.016653372	0.924175975
247749_at	1.33767449	0.217227579
247750_at	0.17556446	0.52169977
247751_at	-0.696591881	0.163707011
247752_at	-0.814929154	0.047907262
247753_at	1.393061286	0.428274081
247754_at	-0.587687254	0.064161759
247755_at	-0.948834575	0.004551255
247756_at	-0.296699125	0.65994646
247757_at	-1.399665617	0.306515342
247758_at	0.610607866	0.326826772
247759_at	-1.561853294	0.243380186
247760_at	-0.603782108	0.730714921
247761_at	-0.357136011	0.103529466
247762_at	0.125377992	0.587128797
247763_at	-0.064896718	0.796481957
247764_at	-0.679891005	0.211807908
247765_at	-0.566051339	0.239711648
247766_at	-0.30525836	0.01239291
247767_at	-0.282921971	0.500635624
247768_at	0.046628039	0.685639602
247769_at	-3.245363711	0.088359649
247770_at	-0.097292875	0.400263928
247771_at	-0.275195684	0.062691023
247772_at	-0.503963075	0.189168585
247773_at	1.070050467	0.035862694
247774_at	0.165644612	0.713602306
247775_at	-0.479430857	0.121380696
247776_at	-0.399334091	0.169843424
247777_at	-0.001647295	0.988227499
247778_at	-0.089228758	0.758787452
247779_at	-0.324065919	0.223227564
247780_at	0.757044806	0.148158843
247781_at	-1.286007568	0.003064453
247782_at	-0.090561361	0.755084592
247783_at	0.241170539	0.077720056
247784_at	0.86757763	0.196267642
247785_at	0.246855395	0.856707984
247786_at	-0.292508963	0.375859447
247787_at	-0.066730584	0.633092865
247788_at	0.012050548	0.948107972
247789_at	0.810406586	0.019061642
247790_at	0.018022907	0.895561346
247791_at	-0.056977978	0.723959037
247792_at	0.269737978	0.040840138
247793_at	0.420955843	0.071543808
247794_at	0.318747996	0.301870126
247795_at	0.307016486	0.269589088
247796_at	-1.68905501	0.119172616
247797_at	-2.280521187	0.232805689
247798_at	-1.675199583	0.179556848
247799_at	-0.240562062	0.883610828
247800_at	1.610901428	0.026209196
247801_at	-0.009711573	0.955827038
247802_at	0.377588339	0.661973519
247803_at	-0.525279254	0.015753429
247804_at	0.195377977	0.776151864
247805_at	-1.316972197	0.255341028
247806_at	-0.329774013	0.055191612
247807_at	-0.355505032	0.721513096
247808_at	-0.763425879	0.025416893
247809_at	-0.848851726	0.210899669
247810_at	-0.03222762	0.808560748
247811_at	0.507236613	0.078765944
247812_at	-0.395253459	0.864558448
247813_at	1.575274302	0.017523437
247814_at	2.548761765	0.24199744
247815_at	-0.446825246	0.029985896
247816_at	1.80978597	0.076182508
247817_at	0.036446287	0.797581958
247818_at	-0.085923312	0.687334162
247819_at	-0.083816316	0.52727495
247820_at	-0.328870725	0.233647045
247821_at	0.035751796	0.805842289
247822_at	-0.227227585	0.343854146
247823_at	-0.219564992	0.026164239
247824_at	-2.134002471	0.021272989
247825_at	-0.22835713	0.228930293
247826_at	0.134069688	0.263581311
247827_at	-0.434776754	0.471404999
247828_at	-0.33423344	0.103228271
247829_at	-0.570690351	0.163148703
247830_at	-0.434791699	0.116959716
247831_at	-0.467161527	0.095493766
247832_at	-0.173549915	0.424007291
247833_at	-0.008367538	0.963503675
247834_at	0.314659421	0.020222425
247835_at	0.029463815	0.880545541
247836_at	-0.262405646	0.049666295
247837_at	-0.477403044	0.065542153
247838_at	0.059292879	0.711582405
247839_at	-0.43174939	0.083764282
247840_at	0.268090257	0.209362143
247841_at	-0.637152219	0.009970474
247842_at	-0.049845031	0.800977333
247843_at	-0.374293858	0.286199886
247844_at	0.939474423	0.562155289
247845_at	0.14042182	0.260544076
247846_at	-0.344417528	0.31522137
247847_at	-0.106883969	0.489032715
247848_at	1.492968821	0.001960827
247849_at	-0.21838919	0.288035185
247850_at	-0.688269455	0.172867865
247851_at	0.235689824	0.073111795
247852_at	-0.36387862	0.110815542
247853_at	1.459755577	0.031949766
247854_at	0.258375659	0.178213395
247855_at	-0.390362888	0.141010753
247856_at	-0.513229299	0.157272534
247857_at	-0.707770439	0.300701755
247858_at	0.057618022	0.449920602
247859_at	-0.420029633	0.07555743
247860_at	0.324801116	0.060304987
247861_at	-0.63709421	0.005603504
247862_at	0.871514073	0.049982977
247863_at	-0.177860407	0.584391109
247864_s_at	0.251750222	0.484459934
247865_at	0.424361886	0.095463294
247866_at	0.255828036	0.647339041
247867_at	-0.455991673	0.048678575
247868_at	-0.290737184	0.442335987
247869_at	-0.328729299	0.542412848
247870_at	-0.04559442	0.651456854
247871_at	-0.915747384	0.199065365
247872_at	-1.070293406	0.261098927
247873_at	-1.481309912	0.305312756
247874_at	0.262479062	0.460619857
247875_at	0.267665719	0.523187059
247876_at	1.044146775	0.441622093
247877_at	-0.452413721	0.163394161
247878_at	1.777477904	0.03990655
247879_at	-0.671391709	0.060427813
247880_at	0.320376317	0.497650225
247881_at	-0.445457702	0.021489359
247882_at	0.070201394	0.848771779
247883_at	-0.990642083	0.441911747
247884_at	0.306337621	0.130286701
247885_at	-0.369116636	0.037709863
247886_at	0.395163531	0.300577804
247887_at	0.42146151	0.054785502
247888_at	-0.051947533	0.859824049
247889_at	0.830319624	0.076873566
247890_at	0.101560546	0.464771226
247891_at	0.330155341	0.176762222
247892_at	-0.39205026	0.199208164
247893_at	-0.565899011	0.009888491
247894_at	-0.069428114	0.752840889
247895_at	-0.996203846	0.076742541
247896_at	-0.115129017	0.704217237
247897_at	-2.067380901	0.105266768
247898_at	0.151995749	0.499598225
247899_at	0.826051192	0.040234615
247900_at	-0.31661282	0.00936925
247901_at	0.217219663	0.176174336
247902_at	-0.117578212	0.570481309
247903_at	-0.523576422	0.013857622
247904_at	-0.444847333	0.179453834
247905_at	-0.700132525	0.611804206
247906_at	-0.31259032	0.553769135
247907_at	-0.256105979	0.100511235
247908_at	-0.167398986	0.37769984
247909_at	-0.054290394	0.723353961
247910_at	-0.320885412	0.279536475
247911_at	0.208483648	0.881480497
247912_at	-0.517067518	0.189724569
247913_at	0.652692348	0.018411072
247914_at	-1.543770282	0.079116736
247915_at	0.31438035	0.809405767
247916_at	-0.376037449	0.136975605
247917_at	-0.116236718	0.842307301
247918_at	-0.302012751	0.072477509
247919_at	0.347278531	0.458777885
247920_at	-1.837596919	0.276240616
247921_at	0.218519887	0.075521263
247922_at	-0.084051447	0.567075632
247923_at	-0.126718531	0.330748612
247924_at	-0.205032613	0.193930939
247925_at	0.844507303	0.08377442
247926_at	0.045709094	0.646840339
247927_at	-1.458598022	0.109069679
247928_at	-1.265110514	0.18811962
247929_at	-0.445821639	0.002481784
247930_at	0.354663542	0.061906191
247931_at	0.768410013	0.049485347
247932_at	-0.514388019	0.35217684
247933_at	-0.475708012	0.078814816
247934_at	0.073753286	0.649844528
247935_at	-0.20256375	0.12126246
247936_at	0.55843761	0.092878562
247937_at	-0.118032359	0.141428788
247938_at	-0.432815875	0.235269372
247939_at	-0.72097121	0.004698453
247940_at	-0.167840735	0.691654215
247941_at	1.927709754	0.189534616
247942_at	-0.675740351	0.025228906
247943_at	0.944268888	0.095044345
247944_at	0.446409434	0.055525565
247945_at	-0.595755002	0.082032239
247946_at	1.404650854	0.327553047
247947_at	-0.911760197	0.0142072
247948_at	-0.166857255	0.601054062
247949_at	1.638200258	0.043232138
247950_at	0.256420343	0.386007166
247951_at	2.122867619	0.233690663
247952_at	0.22636307	0.288513739
247953_at	1.752381219	0.153527927
247954_at	-0.129431028	0.598967013
247955_at	-0.464833689	0.228009795
247956_at	-0.563336653	0.266780782
247957_at	-0.897390495	0.032065437
247958_at	0.083010189	0.859084065
247959_at	-0.50031732	0.22839676
247960_at	-0.107940041	0.409967709
247961_at	1.004368728	0.465954595
247962_at	-0.294662281	0.057788681
247963_at	-0.045175196	0.825160744
247964_at	1.009873654	0.052745165
247965_at	-0.764251764	0.032077673
247966_at	-0.21782009	0.349059162
247967_at	-0.096198689	0.937937103
247968_at	0.056375899	0.80572543
247969_at	-0.102586603	0.909982611
247970_at	-0.200148366	0.585405784
247971_at	0.109041103	0.247963564
247972_at	-0.730241793	0.058285366
247973_at	-0.757265247	0.622238461
247974_at	0.502925778	0.159319968
247975_at	-0.604063001	0.278851313
247976_at	-0.472352915	0.709033205
247977_at	1.3160217	0.3211134
247978_at	-0.500687952	0.025519304
247979_at	0.066648619	0.666028452
247980_at	1.861967208	0.106672096
247981_at	-1.83740614	0.111922521
247982_at	-0.109436041	0.508801478
247983_at	-0.582588225	0.017248269
247984_s_at	-0.892581816	0.014585263
247985_at	-0.165856151	0.252308645
247986_at	-0.426744115	0.009186599
247987_at	-0.238597747	0.121379953
247988_at	0.242886983	0.019880604
247989_at	-0.417970446	0.018597325
247990_at	-0.025812994	0.91615095
247991_at	-0.558363781	0.054657227
247992_at	0.042937885	0.811783496
247993_at	-0.516677654	0.004520193
247994_at	-0.11642979	0.484351369
247995_at	0.142557502	0.475422931
247996_at	0.320595389	0.065205179
247997_at	-0.285949176	0.249778819
247998_at	-0.006645473	0.980964977
247999_at	-0.314532664	0.076054841
248000_at	-0.089824383	0.618600256
248001_at	0.232931571	0.193812091
248002_at	-0.076313857	0.642645027
248003_at	-0.305219828	0.431081205
248004_at	0.105477439	0.623903228
248005_at	-0.382122376	0.206987491
248006_at	-0.600157619	0.206558373
248007_at	0.463836416	0.015614174
248008_at	-0.385436563	0.235533282
248009_at	-0.04970057	0.829547452
248010_at	-0.309096307	0.032433237
248011_at	1.096760086	0.177635218
248012_at	-0.763197185	0.669395349
248013_at	0.562420393	0.180798825
248014_at	0.641590715	0.024003491
248015_at	-0.585200633	0.187534957
248016_at	-0.270213028	0.194557483
248017_at	-0.067298025	0.764758834
248018_at	0.608955174	0.66745749
248019_at	-0.159707461	0.913682547
248020_at	0.65063928	0.575565348
248021_at	-0.527650628	0.00130886
248022_at	1.009085775	0.621935176
248023_at	0.361245427	0.093108979
248024_at	0.04613431	0.828195285
248025_at	-0.383701092	0.14646503
248026_at	0.57852436	0.115161355
248027_at	0.506134408	0.107166601
248028_at	1.620207233	0.11736361
248029_at	-0.03136297	0.799867785
248030_at	-0.719444842	0.005746411
248031_at	-0.14645318	0.241482543
248032_at	-0.366163499	0.199666223
248033_s_at	-0.916482807	0.522459864
248034_at	-0.021578908	0.907507422
248035_at	-0.004095052	0.977723302
248036_at	-0.384918932	0.275018789
248037_at	1.240650285	0.309160616
248038_at	0.644173967	0.437991124
248039_at	0.496822162	0.736835755
248040_at	0.079744176	0.71662848
248041_at	-0.143516942	0.212499565
248042_at	-0.201209105	0.315957671
248043_s_at	-0.440071923	0.027942026
248044_at	0.324755845	0.006337451
248045_at	-0.461848138	0.059679555
248046_at	-0.548815482	0.046946913
248047_at	-0.892182763	0.576044092
248048_at	-0.899275212	0.092920826
248049_at	-0.209277546	0.206292086
248050_at	0.358293456	0.11130556
248051_at	-0.277983687	0.602309633
248052_at	1.213366827	0.166322991
248053_at	0.219009933	0.106875553
248054_at	-0.199555927	0.521520222
248055_at	-0.644883802	0.227313418
248056_at	-0.256668084	0.205112667
248057_at	-0.588732928	0.012293321
248058_at	0.220660586	0.317943316
248059_at	-0.097410007	0.641983696
248060_at	-0.533993567	0.353729293
248061_at	-0.185308453	0.326976172
248062_at	1.582940047	0.406961866
248063_at	-0.505046946	0.154971636
248064_at	-0.752095835	0.255106542
248065_at	-0.331643827	0.647925718
248066_at	-0.609927218	0.535051157
248067_at	-0.570449898	0.004570954
248068_at	-0.376019902	0.004290014
248069_at	-0.492236541	0.377288463
248070_at	-0.250589417	0.282729209
248071_at	-0.287443825	0.167140943
248072_at	-0.317752419	0.779663627
248073_at	0.002002144	0.998824279
248074_at	-0.424155552	0.035377812
248075_at	0.389917035	0.251007608
248076_at	-2.670982933	0.032379267
248077_at	-0.206487227	0.515389902
248078_at	-1.020411694	0.561483656
248079_at	0.089087024	0.685312198
248080_at	-0.05025688	0.824946465
248081_at	-0.442793033	0.034812876
248082_at	-0.596516119	0.108474018
248083_at	-0.513675066	0.588844132
248084_at	0.208185511	0.701611126
248085_at	-1.020203479	0.002709869
248086_at	-0.044603286	0.897433282
248087_at	-0.02838013	0.905948215
248088_at	-0.525165172	0.002562733
248089_at	-1.713428044	0.228769581
248090_at	0.024141629	0.938010135
248091_at	0.094313343	0.71442531
248092_at	-0.499591358	0.157530629
248093_at	0.303041386	0.331534946
248094_at	0.666902766	0.344721825
248095_at	-0.513080678	0.029256021
248096_at	-0.150866127	0.622346971
248097_at	-0.250676593	0.173549996
248098_at	0.097997497	0.188724198
248099_at	-0.475995704	0.059929435
248100_at	-0.21389189	0.466417141
248101_at	-0.426907381	0.090407838
248102_at	-0.191028498	0.175102256
248103_at	0.056794615	0.478659537
248104_at	-0.119830377	0.742610597
248105_at	0.15660193	0.687720678
248106_at	-0.638888261	0.001292906
248107_at	-0.131996221	0.181990346
248108_at	-0.290327403	0.226045412
248109_at	-0.32469471	0.05448116
248110_at	0.79338707	0.616666295
248111_at	-1.06895052	0.412961958
248112_at	-2.233623691	0.20068792
248113_at	-1.238610033	0.207508022
248114_at	-0.215693283	0.328381422
248115_at	-0.396791501	0.044074361
248116_at	0.415636316	0.76793591
248117_at	0.432809275	0.05523855
248118_at	-0.070737211	0.760606019
248119_at	0.495085287	0.182962369
248120_at	-0.039201029	0.65613619
248121_at	-0.308405541	0.035078083
248122_at	-0.018797324	0.981837433
248123_at	1.579403066	0.395001674
248124_at	0.144578575	0.469477053
248125_at	-1.194084536	0.234050665
248126_at	0.140451383	0.185192431
248127_at	-0.127156065	0.122548758
248128_at	1.15065642	0.039103201
248129_at	0.092727653	0.378883824
248130_at	-1.76613109	0.059393125
248131_at	-0.359925611	0.260065996
248132_at	0.127806916	0.270835044
248133_at	0.152907581	0.641162578
248134_at	-0.081946075	0.744345448
248135_at	-0.607654833	0.031362
248136_at	-0.448036283	0.08254142
248137_at	-0.597956504	0.020588895
248138_at	0.017500712	0.949652514
248139_at	-0.536277552	0.106450401
248140_at	-0.159735736	0.221547796
248141_at	-0.987870468	0.659940831
248142_at	-0.510096926	0.027593488
248143_at	1.328585676	0.141794004
248144_at	-0.212970322	0.030564497
248145_at	-0.48335618	0.128365013
248146_at	0.099250975	0.058684227
248147_at	-0.091304427	0.565813768
248148_at	0.146095862	0.346758775
248149_at	-0.213679568	0.047624973
248150_at	-0.580419606	0.033907166
248151_at	1.568266296	0.180663639
248152_at	-0.523224398	0.392066967
248153_at	0.846023002	0.068870355
248154_at	-0.161682839	0.512406977
248155_at	0.466125569	0.061166258
248156_at	1.225706031	0.419708663
248157_at	-1.879835016	0.260165447
248158_at	-0.608545732	0.071996678
248159_at	-1.248379289	0.306487811
248160_at	0.543491541	0.149896969
248161_at	-2.216626128	0.285090378
248162_at	-0.366756866	0.05914351
248163_at	0.012144546	0.951552379
248164_at	-0.357201937	0.351720906
248165_at	0.124196091	0.584705428
248166_at	-0.186000777	0.271282211
248167_at	0.163727925	0.705870608
248168_at	-0.896815414	0.004268364
248169_at	-1.011093708	0.528067079
248170_at	-0.504444994	0.544158249
248171_at	0.276256132	0.061402728
248172_at	-0.158886747	0.5280573
248173_at	-0.03895651	0.816506988
248174_at	0.820900969	0.150880796
248175_at	0.015063725	0.948223941
248176_at	-0.293706112	0.258233881
248177_at	0.574059181	0.08217389
248178_at	-1.177471396	0.019103975
248179_at	0.306177859	0.274040359
248180_at	-0.340615479	0.052148264
248181_at	0.742292961	0.187024056
248182_at	-0.879467659	0.148578047
248183_at	-0.571430114	0.252501491
248184_at	-1.466806328	0.207707511
248185_at	-0.256430961	0.796186222
248186_at	0.512775568	0.41805256
248187_at	0.205803766	0.330824288
248188_at	-0.583563455	0.58126343
248189_at	-0.33109274	0.045975141
248190_at	0.275156113	0.065083953
248191_at	0.673308173	0.019742317
248192_at	-0.03881522	0.875026401
248193_at	0.135347909	0.550123059
248194_at	-1.350755799	0.386426901
248195_at	0.473677926	0.263651182
248196_at	-0.592301355	0.4101254
248197_at	1.95422563	0.195918556
248198_at	-0.429234462	0.00322841
248199_at	1.014685895	0.00999259
248200_at	-0.151472232	0.310182536
248201_at	-0.326463363	0.114932372
248202_at	-0.961878159	0.535761594
248203_at	-0.650696844	0.157234998
248204_at	-0.460483473	0.115254148
248205_at	-0.728355824	0.14139615
248206_at	0.273121349	0.783754602
248207_at	0.732602686	0.026729001
248208_at	-0.512233602	0.319920471
248209_at	-0.649034509	0.650961463
248210_at	-1.840604972	0.10650403
248211_at	0.468355048	0.696548466
248212_at	-0.462496578	0.060006011
248213_at	0.841348769	0.44689791
248214_at	-0.440806917	0.461092532
248215_at	-0.485893902	0.170030025
248216_at	0.17106266	0.765336115
248217_at	0.14978296	0.151102601
248218_at	-0.430274702	0.299579503
248219_at	0.009884702	0.961084786
248220_at	-0.040028046	0.797666829
248221_at	-0.295245477	0.016391006
248222_at	0.419944905	0.00569279
248223_at	-0.452037332	0.044898115
248224_at	1.331373894	0.031125534
248225_at	-0.032569618	0.916579598
248226_at	0.553826987	0.252720985
248227_at	0.842340605	0.573061233
248228_at	-0.635528766	0.0411014
248229_at	-0.613854063	0.441838756
248230_at	-0.182183225	0.500207344
248231_at	-0.091931157	0.776096483
248232_at	-0.543489308	0.109981167
248233_at	0.022558915	0.985002387
248234_at	-0.129703193	0.13232094
