ID	logFC	P.Value
245081_at	-0.730054433	0.361465962
245082_at	-0.509451834	0.661032828
245083_at	-0.396777983	0.230318866
245084_at	-0.188139587	0.432389944
245085_at	-0.612032783	0.086128661
245086_at	0.710292455	0.462241733
245087_at	-0.532103608	0.052107075
245088_at	-0.524218265	0.353546109
245089_at	-0.671902316	0.035733788
245090_at	-0.641866221	0.115131059
245091_at	0.264857374	0.783990838
245092_at	-0.342323063	0.050672294
245093_at	-0.384271649	0.119822351
245094_at	-0.190697785	0.254664172
245095_at	1.147421846	0.15474254
245096_at	0.984024207	0.039115372
245097_at	-0.158287588	0.456603025
245098_at	-0.29243429	0.130286247
245099_at	-0.362770447	0.086297688
245100_at	-0.544139737	0.06061602
245101_at	-0.214894799	0.290060659
245102_at	-0.664011641	0.618548666
245103_at	-1.49002649	0.345605148
245104_at	-0.042511792	0.746262365
245105_at	0.107810791	0.754670241
245106_at	-0.49544177	0.085161523
245107_at	-0.49631536	0.434200582
245108_at	-1.756982632	0.215038267
245109_at	-0.536619097	0.031302503
245110_at	0.313605672	0.471526817
245111_at	-0.761841105	0.61864
245112_at	-0.294881177	0.246093859
245113_at	-0.934993997	0.006681126
245114_at	0.048370805	0.739377004
245115_at	-0.026555358	0.823771089
245116_at	-0.247816663	0.135548673
245117_at	0.906886986	0.030985535
245118_at	0.478308776	0.272826936
245119_at	0.897954932	0.019220882
245120_at	-0.340557543	0.149141789
245121_at	-0.240671489	0.087296063
245122_at	-0.077938789	0.384205009
245123_at	1.348544091	0.010370634
245124_at	-0.154598224	0.452401619
245125_at	-0.028159004	0.978837933
245126_at	-0.393359277	0.171855301
245127_at	-0.497921024	0.139293452
245128_at	0.486695636	0.374429449
245129_at	-0.35319918	0.650170966
245130_at	-0.735786427	0.111030141
245131_s_at	-0.161652284	0.195987984
245132_at	0.213990533	0.372196768
245133_at	-0.200063839	0.413457224
245134_s_at	0.109482631	0.444101572
245135_at	-1.09805854	0.363993057
245136_at	-0.312138171	0.196434499
245137_at	-0.39353128	0.142465704
245138_at	0.985150288	0.11377876
245139_at	-0.690282933	0.027604744
245140_at	-0.623468587	0.04831283
245141_at	0.028842454	0.859361221
245142_at	0.063146328	0.754438549
245143_at	0.187596975	0.488300597
245144_at	-0.093639252	0.271120516
245145_at	-0.117199439	0.46523504
245146_at	0.121057402	0.113681778
245147_at	0.204199559	0.541951336
245148_at	-0.320717285	0.106873627
245149_at	0.268539329	0.46886343
245150_at	0.743782269	0.182445651
245151_at	0.327581589	0.174258422
245152_at	0.444244809	0.069983108
245153_at	-0.985296064	0.196689988
245154_at	0.079411251	0.943996397
245155_at	-0.111150447	0.045859309
245156_at	-0.470582191	0.012476729
245157_at	-2.131391508	0.163475605
245158_at	-0.33091482	0.3737594
245159_at	-3.033120835	0.003111075
245160_at	-0.088022163	0.969048269
245161_at	0.038076482	0.936888217
245162_at	0.141612558	0.515375561
245163_at	-1.925776542	0.113480813
245164_at	-0.452838412	0.147981549
245165_at	0.709801997	0.011359543
245166_at	0.342972323	0.264176359
245167_s_at	-0.116667138	0.297061609
245168_at	-0.041859217	0.6817512
245169_at	-0.027716723	0.897358301
245170_at	-0.196202683	0.879155201
245171_at	0.75670599	0.200766575
