Probe	x
1	1.6017588475033
2	1.78326848185494
3	-1.5295111269592
4	-0.934993997001859
5	-3.03312083491528
6	-1.24097997009006
7	-0.478746586242519
8	-0.800471610708549
9	-0.755722567765348
10	-0.883623779803118
11	-0.675821033882384
12	0.900997053507076
13	1.83346071436209
14	-0.571968752790625
15	-0.380446589326095
16	-0.695720076578898
17	-0.503932957481767
18	-0.259358599887152
19	-0.659277941078202
20	-0.978101278985715
21	-0.688065300648784
22	-0.58299052733475
23	-0.574998060617462
24	-0.301267061061665
25	1.28688795801032
26	-0.609928084493697
27	-0.889036824843201
28	-0.485427552287385
29	-0.508212549274667
30	-3.09786264925722
31	-0.351876114188633
32	0.694630772791979
33	-0.540977130933619
34	0.832583786750895
35	0.914566072347405
36	-0.506498481362154
37	-0.84323819581728
38	-3.96361500836755
39	-0.576747461183533
40	-0.349662411415549
41	-1.38466990504413
42	-0.500532190051814
43	0.867834428482836
44	-0.358244356486718
45	0.445727310910717
46	-0.845985779850221
47	-0.24904830136766
48	-0.419485854048916
49	-0.608975016918865
50	-0.77991975924127
51	-0.699903521845174
52	-1.75350884233748
53	-1.99963925261272
54	-0.80364209373457
55	-0.506856508057718
56	-0.440574397836381
57	-1.20868795184716
58	-0.742466076469605
59	-0.918763892525982
60	-1.02053161637453
61	-0.250085893380268
62	0.518140794117802
63	-4.1486762450319
64	-0.323726183339367
65	-0.74344092010462
66	-0.364141880237081
67	-0.8946891508993
68	-0.504406241440588
69	0.472714067309392
70	-0.571012418891932
71	-0.466297642297377
72	-0.386111846049008
73	-0.936970536873198
74	-0.788280485193087
75	-0.607302344693916
76	-1.11414387971909
77	-0.366511075908183
78	0.407921833104526
79	3.20887913253793
80	-0.805053708071693
81	-0.673113202232582
82	-0.845387886178932
83	-0.341604224558623
84	-0.487158233250804
85	-0.780448254269925
86	-0.669158801717606
87	-0.960121534572885
88	-0.259639488071606
89	-0.919170456191146
90	-0.412572053971758
91	-0.81034804213774
92	0.644101638804891
93	-0.537326044922207
94	-1.08622834960047
95	-0.6194263677585
96	-1.46270289363788
97	-0.199036853154839
98	0.92000866325362
99	-0.251239015901772
100	0.808819790168096
101	-0.948834575003119
102	-1.28600756830229
103	-0.637152218918715
104	1.49296882149646
105	-0.637094210464528
106	-0.56589901133895
107	-0.31661281958697
108	-0.445821638654927
109	-0.720971210034932
110	-0.426744114959078
111	-0.516677653825319
112	-0.527650628153928
113	-0.719444841898888
114	0.324755844847738
115	-0.570449897605058
116	-0.376019902221053
117	-1.02020347901349
118	-0.525165171718074
119	-0.638888260884643
120	-0.896815414289875
121	-0.429234462336162
122	1.01468589496239
123	0.419944904671372
124	-1.00888630248487
125	1.18134063245061
126	-0.300095553654252
127	-0.847477327519927
128	1.88873559129871
129	-0.664776568081352
130	-0.180533292204821
131	2.6516941369917
132	-0.538537670703511
133	-0.562913207113116
134	-1.07880239876509
135	-0.643909202842256
136	-0.388724248584889
137	-0.817107635654534
138	0.494431554770232
139	-1.01354170677966
140	-0.55591017849482
141	-0.41449386948209
142	-1.73132023137146
143	-0.641754020122018
144	-1.16978237204037
145	-2.73996205598137
146	-1.04511043050936
147	2.76982931912788
