GSM1272576_jm01-colq-m1_ATH1-121501_.CEL	GSM1272577_jm02-colq-m2_ATH1-121501_.CEL	GSM1272578_jm03-colq-m4_ATH1-121501_.CEL	GSM1272579_jm04-colq-a1_ATH1-121501_.CEL	GSM1272580_jm05-colq-a2_ATH1-121501_.CEL	GSM1272581_jm06-colq-a3_ATH1-121501_.CEL	GSM1272582_jm07-16-2-m2_ATH1-121501_.CEL	GSM1272583_jm08-16-2-m3_ATH1-121501_.CEL	GSM1272584_jm09-16-2-m4_ATH1-121501_.CEL	GSM1272585_jm10-16-2-a2_ATH1-121501_.CEL	GSM1272586_jm11-16-2-a3_ATH1-121501_.CEL	GSM1272587_jm12-16-2-a4_ATH1-121501_.CEL
244997_at	P	P	P	P	P	P	P	P	P	P	P	P
244998_at	P	P	P	P	P	P	P	P	P	P	P	P
244999_at	A	M	A	M	A	A	A	A	P	A	A	A
245000_at	M	P	M	P	P	P	P	A	P	P	A	P
245001_at	P	P	P	P	P	P	P	P	P	P	P	P
245002_at	P	P	P	P	P	P	P	P	P	P	P	P
245003_at	P	P	P	P	P	P	P	P	P	P	P	P
245004_at	P	P	P	P	P	P	P	P	P	P	P	P
245005_at	P	A	A	P	M	A	A	A	A	P	A	P
245006_at	P	P	P	P	P	P	P	P	P	P	P	P
245007_at	A	A	A	P	A	A	M	A	A	A	A	A
245008_at	P	P	P	P	P	P	P	P	P	P	P	P
245009_at	P	P	P	P	P	P	P	P	P	P	P	P
245010_at	P	P	P	P	P	P	P	P	P	P	P	P
245011_at	P	P	P	P	P	P	P	P	P	P	P	P
245012_at	P	P	P	P	P	P	P	P	P	P	P	P
245013_at	P	P	P	P	P	P	P	P	P	P	P	P
245014_at	P	P	P	P	P	P	P	P	P	P	P	P
245015_at	P	P	P	P	P	P	P	P	P	P	P	P
245016_at	P	P	P	P	P	P	P	P	P	P	P	P
245017_at	P	P	P	P	P	P	P	P	P	P	P	P
245018_at	P	P	P	P	P	P	P	P	P	P	P	P
245019_at	P	P	P	P	P	P	P	P	P	P	P	P
245020_at	P	P	P	P	P	P	P	P	P	P	P	P
245021_at	P	P	P	P	P	P	P	P	P	P	P	P
245022_at	P	P	P	P	P	P	P	P	P	P	P	P
245023_at	P	P	P	P	P	P	P	P	P	P	P	P
245024_at	P	P	P	P	P	P	P	P	P	P	P	P
245025_at	P	P	P	P	P	P	P	P	P	P	P	P
245026_at	P	P	P	P	P	P	P	P	P	P	P	P
245027_at	P	P	P	P	P	P	P	P	P	P	P	P
245028_at	P	P	P	P	P	P	P	P	P	P	P	P
245029_at	A	P	M	P	P	P	P	A	A	P	P	P
245030_at	A	A	A	A	A	A	A	A	A	A	A	A
245031_at	P	P	P	P	P	P	P	P	P	P	P	P
245032_at	P	P	A	P	P	P	M	A	P	P	A	A
245033_at	P	P	P	P	P	P	P	P	P	P	P	P
245034_at	P	P	P	P	P	P	P	P	P	P	P	P
245035_at	P	P	P	P	P	P	P	P	P	P	P	P
245036_at	P	P	P	P	A	A	P	P	P	A	M	P
245037_at	P	A	P	A	P	A	A	P	P	P	P	P
245038_at	P	P	P	P	P	P	P	P	P	P	P	P
245039_at	P	P	P	P	P	P	P	P	P	P	P	P
245040_at	A	A	M	A	A	A	A	P	P	A	A	A
245041_at	P	P	P	P	P	P	P	P	P	P	P	P
245042_at	P	P	P	P	P	P	P	P	P	P	P	P
245043_at	P	P	P	P	P	P	P	P	P	P	P	P
245044_at	P	P	P	P	P	P	P	P	P	P	P	P
245045_at	P	P	P	P	P	P	P	P	P	P	P	P
245046_at	P	P	P	P	P	P	P	P	P	P	P	P
245047_at	P	P	P	P	P	P	P	P	P	P	P	P
245048_at	P	P	P	P	P	P	P	P	P	P	P	P
245049_at	P	P	M	P	P	P	P	P	P	P	P	P
245050_at	P	P	P	P	P	P	P	P	P	P	P	P
245051_at	P	P	P	P	P	P	P	P	P	P	P	P
245052_at	P	P	P	P	P	P	P	M	P	P	P	P
245053_at	A	A	A	A	A	A	A	A	A	A	A	A
245054_at	P	P	P	P	P	P	P	P	P	P	P	P
245055_at	P	P	P	P	P	P	P	P	P	P	P	P
245056_at	P	P	P	P	P	P	P	P	P	P	P	P
245057_at	A	A	A	A	A	A	A	A	A	A	A	A
245058_at	A	A	A	A	A	A	A	A	A	A	A	A
245059_at	P	P	P	P	P	P	P	P	P	P	P	P
245060_at	P	P	P	P	P	P	P	P	P	P	P	P
245061_at	P	P	P	P	P	P	P	P	P	P	P	P
245062_at	P	P	P	P	P	P	P	P	P	P	P	P
245063_at	P	P	P	P	P	P	P	P	P	P	P	P
245064_at	P	P	P	P	P	P	P	P	P	P	P	P
245065_at	P	P	P	P	P	P	P	P	P	P	P	P
245066_at	P	P	P	P	P	P	P	P	P	P	P	P
245067_at	P	P	P	P	P	P	P	P	P	P	P	P
245068_at	A	A	A	A	A	A	A	A	A	A	A	A
245069_at	A	A	A	A	A	A	A	A	A	A	A	A
245070_at	A	A	A	A	A	A	A	A	A	A	A	A
245071_at	A	A	A	A	A	A	A	A	A	A	A	A
245072_s_at	A	A	A	A	A	A	A	A	A	A	A	A
245073_at	A	A	A	A	A	A	A	A	A	A	A	A
245074_at	P	M	P	P	P	P	P	P	P	P	P	P
245075_at	A	A	A	A	A	A	A	A	A	A	A	A
245076_at	P	P	P	P	P	P	P	P	P	P	P	P
245077_at	A	A	A	A	A	A	A	A	A	A	A	A
245078_at	P	P	P	P	P	P	P	P	P	P	P	P
245079_at	P	P	P	P	P	P	P	P	P	P	P	P
245080_at	P	P	P	P	A	A	P	P	P	P	P	P
245081_at	A	A	A	A	A	A	A	A	A	A	A	A
245082_at	A	A	A	A	A	A	A	A	A	A	A	A
245083_at	P	P	P	P	P	P	P	P	P	P	P	P
245084_at	P	P	P	P	P	P	P	P	P	P	P	P
245085_at	P	P	P	P	P	P	P	P	P	P	P	P
245086_at	A	A	A	A	A	A	A	A	A	A	A	A
245087_at	P	P	P	P	P	P	P	P	P	P	P	P
245088_at	A	A	A	A	P	A	A	A	A	A	A	A
245089_at	P	P	P	P	P	P	P	P	P	P	P	P
245090_at	P	P	P	P	P	P	P	P	P	P	P	P
245091_at	A	A	A	A	A	A	A	A	A	A	A	A
