GSM1272576_jm01-colq-m1_ATH1-121501_.CEL	GSM1272577_jm02-colq-m2_ATH1-121501_.CEL	GSM1272578_jm03-colq-m4_ATH1-121501_.CEL	GSM1272579_jm04-colq-a1_ATH1-121501_.CEL	GSM1272580_jm05-colq-a2_ATH1-121501_.CEL	GSM1272581_jm06-colq-a3_ATH1-121501_.CEL	GSM1272582_jm07-16-2-m2_ATH1-121501_.CEL	GSM1272583_jm08-16-2-m3_ATH1-121501_.CEL	GSM1272584_jm09-16-2-m4_ATH1-121501_.CEL	GSM1272585_jm10-16-2-a2_ATH1-121501_.CEL	GSM1272586_jm11-16-2-a3_ATH1-121501_.CEL	GSM1272587_jm12-16-2-a4_ATH1-121501_.CEL
247341_at	A	A	A	A	A	A	A	A	A	A	A	A
247342_at	A	A	A	A	A	A	A	A	A	A	A	A
247343_at	A	A	A	A	A	A	A	A	A	A	A	A
247344_at	A	A	A	A	A	A	A	A	A	A	A	A
247345_at	P	P	P	P	P	P	P	P	P	P	P	P
247346_at	M	P	P	P	P	P	P	P	P	P	P	P
247347_at	P	P	P	P	P	P	P	P	P	P	P	P
247348_at	P	P	P	P	P	P	P	P	P	P	P	P
247349_at	A	A	A	A	A	A	A	M	A	A	A	A
247350_at	P	P	P	P	P	P	P	P	P	P	P	P
247351_at	P	P	P	P	P	P	P	P	P	P	P	P
247352_at	P	P	P	P	P	P	P	P	P	P	P	P
247353_at	P	P	P	P	P	P	P	P	P	P	P	P
247354_at	P	P	P	P	P	P	P	P	P	P	P	P
247355_at	P	P	P	P	P	P	P	P	P	P	P	P
247356_at	P	P	P	P	P	P	P	P	P	P	P	P
247357_at	P	P	P	P	P	P	P	P	P	P	P	P
247358_at	A	A	A	A	A	A	A	A	A	A	A	A
247359_at	P	P	P	P	P	P	P	P	P	P	P	P
247360_at	P	P	P	P	P	P	P	P	P	P	P	P
247361_at	P	P	P	P	P	P	P	P	P	P	P	P
247362_at	P	P	P	P	P	P	P	P	P	P	P	P
247363_at	P	M	P	M	P	M	M	A	P	M	M	P
247364_at	P	P	P	P	P	P	P	P	P	P	P	P
247365_at	P	P	P	P	P	P	P	P	P	P	P	P
247366_at	P	P	P	P	P	P	P	P	P	P	P	P
247367_at	P	P	P	P	P	P	P	P	P	P	P	P
247368_at	P	P	P	P	P	P	P	P	P	P	P	P
247369_at	A	A	A	A	A	A	A	A	A	A	A	A
247370_at	P	P	P	M	P	M	P	P	P	P	P	P
247371_at	P	P	P	P	P	P	P	P	P	P	P	P
247372_at	P	P	P	P	P	P	P	P	P	P	P	P
247373_at	P	P	P	P	P	P	P	P	P	P	P	P
247374_at	P	P	P	P	P	P	P	P	P	P	P	P
247375_at	P	P	P	P	P	P	P	P	P	P	P	P
247376_at	P	P	P	P	P	P	P	P	P	P	P	P
247377_at	A	A	A	P	A	P	P	A	A	A	A	M
247378_at	P	P	P	P	P	P	P	P	P	P	P	P
247379_at	P	P	P	A	P	M	P	P	P	P	A	P
247380_at	P	P	P	P	P	P	P	P	P	P	P	P
247381_at	A	A	A	A	A	A	A	A	A	A	A	A
247382_at	P	P	P	P	P	P	P	P	P	P	P	P
247383_at	P	P	P	P	P	P	P	P	P	P	P	P
247384_at	P	P	P	P	P	P	P	P	P	P	P	P
247385_at	A	P	P	P	P	M	P	P	P	P	P	M
247386_at	P	P	P	P	P	P	P	P	P	P	P	P
247387_at	P	P	P	P	P	M	P	P	P	P	P	P
247388_s_at	P	P	P	P	P	P	P	P	P	P	P	P
247389_at	P	P	P	P	P	P	P	P	P	P	P	P
247390_at	P	P	P	P	P	P	P	P	P	P	P	P
247391_at	A	A	A	A	A	A	A	P	A	A	A	A
247392_at	P	P	P	P	P	P	P	P	P	P	P	P
247393_at	M	M	P	P	P	P	P	P	P	P	P	P
247394_at	P	P	P	P	P	P	P	P	P	P	P	P
247395_at	P	P	P	P	P	P	P	P	P	P	P	P
247396_at	P	P	P	P	P	P	P	P	P	P	P	P
247397_at	A	A	A	P	A	P	P	A	A	A	A	P
247398_at	P	P	P	P	P	P	P	P	P	P	P	P
247399_at	P	P	P	P	P	P	P	P	P	P	P	P
247400_at	A	A	A	P	A	P	P	A	A	A	A	A
247401_at	P	P	P	P	P	P	P	P	P	P	P	P
247402_at	A	A	A	A	A	A	A	A	A	A	A	A
247403_at	P	P	P	P	P	P	P	P	P	P	P	P
247404_at	P	P	P	P	P	P	P	P	P	P	P	P
247405_at	P	P	P	P	P	P	P	P	P	P	P	P
247406_at	A	P	P	P	P	P	P	P	P	P	P	P
247407_at	P	P	P	P	P	P	P	P	P	P	P	P
247408_at	A	A	M	A	A	M	A	P	A	A	P	M
247409_at	P	P	P	P	P	P	P	P	P	P	P	P
247410_at	A	A	P	A	A	A	A	A	A	A	A	A
247411_at	P	P	P	P	P	P	P	P	P	P	P	P
247412_at	P	P	P	P	P	P	P	P	P	P	P	P
247413_at	P	P	P	P	P	P	P	P	P	P	A	P
247414_at	P	P	P	P	P	P	P	P	P	P	P	P
247415_at	P	P	P	P	P	P	P	P	P	P	P	P
247416_at	A	A	A	A	A	A	A	A	A	A	A	A
247417_at	P	P	P	P	P	P	P	P	P	P	P	P
247418_at	P	P	P	P	P	P	P	P	P	P	P	P
247419_at	P	P	P	P	P	P	P	P	P	P	P	P
247420_at	A	A	A	A	A	A	A	A	A	A	A	A
247421_at	A	A	A	A	A	A	A	A	A	A	A	A
247422_at	P	P	P	P	P	P	P	P	P	P	P	P
247423_at	P	P	A	P	A	A	A	P	A	P	M	A
247424_at	A	A	A	A	A	A	A	A	A	A	A	A
247425_at	P	P	P	P	P	P	P	P	P	P	P	P
247426_at	P	P	P	P	P	P	P	P	P	P	P	P
247427_at	P	P	P	P	P	P	P	P	P	P	P	P
247428_at	P	P	P	P	P	P	P	P	P	P	P	P
247429_at	P	P	P	P	P	P	P	P	P	P	P	P
247430_at	P	P	P	P	P	P	P	P	P	P	P	P
247431_at	P	P	P	P	P	P	P	P	P	P	P	P
247432_at	P	P	P	P	P	P	P	P	P	P	P	P
247433_at	P	P	P	P	P	P	P	P	P	P	P	P
247434_at	P	P	P	P	P	P	P	P	P	P	P	P
247435_at	P	P	P	P	P	P	P	P	P	P	P	P
247436_at	P	P	P	P	P	P	P	P	P	P	P	P
247437_at	A	A	P	A	A	A	A	A	A	A	A	A
247438_at	P	P	P	P	P	P	P	P	P	P	P	P
247439_at	P	P	P	P	P	P	P	P	P	P	P	P
247440_at	P	P	P	P	P	P	P	P	P	P	P	P
247441_at	P	P	P	P	P	P	P	P	P	P	P	P
247442_s_at	P	P	P	P	P	P	P	P	P	P	P	P
247443_at	P	P	P	P	P	P	P	P	P	P	P	P
247444_at	P	P	P	P	P	P	P	P	P	P	P	P
247445_at	P	P	P	P	P	P	P	P	P	P	P	P
247446_at	P	P	P	P	P	P	P	P	P	P	P	P
247447_at	A	A	A	A	A	A	A	A	P	A	A	A
247448_at	P	P	P	P	P	P	P	P	P	P	P	P
247449_at	P	P	P	P	P	P	P	P	P	P	P	P
247450_at	P	P	P	P	P	P	P	P	P	P	P	P
247451_at	A	A	A	A	A	A	A	A	A	A	A	A
247452_at	A	A	A	M	P	M	M	A	A	A	A	P
247453_at	P	P	P	P	P	P	P	P	P	P	P	P
247454_at	P	P	P	P	P	P	P	P	P	P	P	P
247455_at	P	P	P	P	P	P	P	P	P	P	P	P
247456_at	A	A	M	P	M	P	P	P	P	A	P	P
247457_at	A	M	M	A	A	A	P	A	A	M	A	A
247458_at	P	P	P	P	P	P	P	P	P	P	P	P
247459_at	P	P	P	P	P	P	P	P	P	P	P	P
247460_at	P	P	P	P	P	P	P	P	P	P	P	P
247461_at	P	P	P	P	A	A	A	P	M	A	A	P
247462_at	A	A	A	M	A	A	A	A	A	A	A	A
247463_at	P	P	P	P	P	P	P	P	P	P	P	P
247464_at	P	P	P	P	P	P	P	P	P	P	P	P
247465_at	P	P	P	P	P	P	P	P	P	P	P	P
247466_at	P	P	P	P	P	P	P	P	P	P	P	P
247467_at	P	P	P	P	P	P	P	P	P	P	P	P
247468_at	P	P	P	P	P	P	P	P	P	P	P	P
247469_at	P	P	P	P	P	P	P	P	P	P	P	P
247470_at	P	P	P	P	P	P	P	P	P	P	P	P
247471_at	P	P	P	M	P	P	P	P	P	M	M	P
247472_at	A	A	A	A	A	A	A	A	A	A	A	A
247473_at	P	P	P	P	P	P	P	P	P	P	P	P
247474_at	P	P	P	P	P	P	P	P	P	P	P	P
247475_at	P	P	P	P	P	A	P	P	P	P	P	A
247476_at	A	P	A	A	A	A	P	P	P	A	P	M
247477_at	P	P	P	P	P	P	P	P	P	P	P	P
247478_at	P	P	P	P	P	P	P	P	P	P	P	P
247479_at	A	M	A	A	A	A	A	M	P	A	A	A
247480_at	P	P	P	P	P	P	P	P	P	P	P	P
247481_at	A	A	A	A	A	A	A	A	A	A	A	A
247482_at	P	P	P	P	P	P	P	P	P	P	P	P
247483_at	A	A	A	A	A	A	A	A	A	A	A	A
247484_at	A	A	A	A	A	A	A	A	A	A	A	A
247485_at	A	A	A	A	A	A	A	A	A	A	A	A
247486_at	A	A	A	A	A	A	A	A	A	A	A	A
247487_at	P	P	P	P	P	P	P	P	P	P	P	P
247488_at	P	P	P	P	P	P	P	P	P	P	P	P
247489_at	P	P	P	P	P	P	P	P	P	P	P	P
247490_at	A	A	A	A	A	A	A	A	A	A	A	A
247491_at	P	P	P	P	P	P	P	P	P	P	P	P
247492_at	P	P	P	P	P	P	A	A	P	P	P	P
247493_at	P	P	P	P	P	P	P	P	P	P	P	P
247494_at	P	P	P	P	P	P	P	P	P	P	P	P
247495_at	P	P	P	P	P	P	P	P	P	P	P	P
247496_at	P	P	P	P	P	P	P	P	P	P	P	P
247497_at	P	P	P	P	P	P	P	P	P	P	P	P
247498_at	P	P	P	P	P	P	P	P	P	P	P	P
247499_at	P	P	P	P	A	M	P	P	P	P	P	P
247500_at	P	P	P	P	P	P	P	P	P	P	P	P
247501_at	P	P	P	P	P	P	P	P	P	P	A	P
247502_at	A	A	A	A	A	A	A	A	A	A	A	A
247503_at	P	P	P	P	P	P	P	P	P	P	P	P
247504_at	P	P	P	A	P	A	P	P	P	P	P	P
247505_at	P	P	P	P	P	P	P	P	P	P	P	P
247506_at	P	P	P	P	P	P	P	P	P	P	P	P
247507_at	M	P	P	P	P	M	P	P	P	P	A	P
247508_at	A	P	P	P	M	P	P	A	P	A	P	A
247509_at	P	P	P	P	P	P	P	P	P	P	P	P
247510_at	P	P	P	P	P	P	P	P	P	P	P	P
247511_at	A	A	A	A	P	M	A	A	A	A	A	A
247512_at	A	A	A	A	A	A	A	A	A	A	A	A
247513_at	P	P	P	P	P	P	P	P	P	P	P	P
247514_at	P	P	P	P	P	P	P	P	P	P	P	P
247515_at	A	A	A	A	A	A	A	A	A	A	A	A
247516_at	A	A	A	A	A	A	A	A	A	A	A	A
247517_at	P	P	P	P	P	P	P	P	P	P	P	P
247518_at	A	A	A	A	A	A	A	A	P	A	A	P
247519_at	P	P	P	P	P	P	P	P	P	P	P	P
247520_at	P	P	P	P	P	P	P	P	P	P	P	P
247521_at	P	P	P	P	P	P	P	P	P	P	P	P
247522_at	P	P	P	P	P	P	P	P	P	P	P	P
247523_at	P	P	P	P	P	P	P	P	P	P	P	P
247524_at	P	P	P	P	P	P	P	P	P	P	P	P
247525_at	P	P	P	P	P	P	P	P	P	P	P	P
247526_at	P	A	A	A	A	A	A	A	A	A	P	A
247527_at	P	M	P	P	P	M	P	P	M	P	A	P
247528_at	M	P	P	A	P	P	P	P	P	P	P	P
247529_at	A	A	A	P	P	P	P	A	A	A	A	P
247530_at	P	P	P	P	P	P	P	P	P	P	P	P
247531_at	A	A	A	A	A	A	A	A	A	A	A	A
247532_at	P	P	P	P	P	P	P	P	P	P	P	P
247533_at	A	A	A	A	A	M	M	P	M	P	A	P
247534_at	P	P	P	P	P	P	P	P	P	P	P	P
247535_at	A	A	A	A	A	A	A	A	A	A	A	A
247536_at	P	P	P	P	P	P	M	P	P	A	M	M
247537_s_at	A	P	A	M	A	A	A	A	A	P	A	A
247538_at	A	A	A	A	P	A	A	A	A	P	M	A
247539_at	A	A	A	A	A	A	A	A	A	A	A	A
247540_at	P	P	P	P	P	P	P	P	P	P	P	P
247541_at	M	M	A	M	P	P	P	A	A	P	A	P
247542_at	P	P	P	P	P	P	P	P	P	P	P	P
247543_at	P	P	P	P	P	P	P	P	P	P	P	P
247544_at	P	P	P	P	P	P	P	P	P	P	P	P
247545_at	P	P	P	P	P	P	P	P	P	P	P	P
247546_at	A	A	A	A	A	A	A	A	A	A	A	A
247547_at	P	P	P	P	P	P	P	P	P	P	P	P
247548_at	A	A	A	A	A	A	A	A	P	A	A	A
247549_at	P	P	P	P	P	P	P	P	P	P	P	P
247550_at	A	M	M	P	P	A	P	P	P	P	P	P
247551_at	P	P	P	P	P	P	P	P	P	P	P	P
247552_at	P	P	P	P	P	P	P	P	P	P	P	P
247553_at	A	A	A	A	A	A	A	A	A	A	A	A
247554_at	P	P	P	P	P	P	P	P	P	P	P	P
247555_at	P	P	P	P	P	P	P	P	P	P	P	P
247556_at	A	P	P	P	P	P	P	P	P	P	P	P
247557_at	A	A	A	A	A	A	A	A	A	A	A	A
247558_at	P	P	P	P	P	P	P	P	P	P	P	P
247559_at	A	A	A	A	A	A	A	A	A	A	A	A
247560_at	M	A	A	M	P	A	A	A	A	M	A	A
247561_at	A	A	A	A	P	A	A	P	A	A	A	A
247562_at	A	A	A	A	A	A	A	A	A	A	A	A
247563_at	P	P	P	P	P	P	P	P	P	P	P	P
247564_at	P	P	P	P	P	P	P	P	P	P	P	P
247565_at	P	P	P	P	P	P	P	P	P	P	P	P
247566_at	P	P	P	P	P	P	P	P	P	P	P	P
247567_at	P	P	P	P	P	P	P	P	P	P	P	P
247568_at	P	P	P	A	P	M	A	P	P	P	A	P
247569_at	P	P	P	P	P	P	P	P	P	P	P	P
247570_at	P	P	P	P	P	P	P	P	P	P	P	P
247571_at	P	P	P	P	P	P	P	P	P	P	P	P
247572_at	P	P	P	P	P	P	P	P	P	P	P	P
247573_at	A	A	A	A	A	P	P	A	A	A	A	A
247574_at	P	P	P	P	P	P	P	P	P	P	P	P
247575_at	P	P	P	P	P	P	P	P	P	P	P	P
247576_at	P	A	P	A	P	A	M	P	P	P	A	A
247577_at	A	P	M	M	A	A	A	P	P	A	A	P
247578_at	P	P	P	P	P	P	P	P	P	M	P	P
247579_at	A	A	A	A	A	A	A	A	A	A	A	A
247580_at	P	P	P	P	P	P	P	P	P	P	P	P
247581_at	A	P	A	A	A	A	M	M	A	A	A	P
247582_at	P	P	P	P	A	M	P	P	P	P	P	P
247583_at	P	P	P	P	P	P	P	P	P	P	P	P
247584_at	P	P	P	P	P	P	P	P	P	P	P	P
247585_at	P	P	P	P	P	P	P	P	P	P	P	P
247586_at	P	P	P	P	P	P	P	P	P	P	P	P
247587_at	P	P	P	P	P	P	P	P	P	P	P	P
247588_at	P	P	P	P	P	P	P	P	P	P	P	P
247589_at	P	P	P	P	P	P	P	P	P	P	P	P
247590_at	A	P	P	P	A	A	A	P	P	A	A	P
247591_at	A	A	A	A	A	A	A	A	A	A	A	A
247592_at	A	A	A	A	A	A	A	A	A	A	A	A
247593_at	P	P	P	P	P	P	P	P	P	P	P	P
247594_at	P	P	P	P	P	P	P	P	P	P	P	P
247595_at	P	P	P	P	P	P	P	P	P	P	P	P
247596_at	P	P	P	P	P	P	P	P	P	M	P	P
247597_at	P	P	P	P	P	P	P	P	P	P	P	P
247598_at	P	P	P	P	P	P	P	P	P	P	P	P
247599_at	A	A	A	A	A	A	A	A	A	A	A	A
247600_at	P	P	P	P	P	P	P	P	P	P	P	P
247601_at	P	P	P	P	P	P	P	P	P	P	P	P
247602_at	A	A	A	A	A	A	A	A	A	A	A	A
247603_at	P	P	P	P	P	P	P	P	P	P	P	P
247604_at	P	P	P	P	P	P	P	P	P	P	P	P
247605_at	P	A	A	P	P	P	P	A	A	P	A	P
247606_at	P	P	P	P	P	P	P	P	P	P	P	P
247607_at	P	P	P	P	P	P	P	P	P	P	P	P
247608_at	P	P	P	P	P	P	P	P	P	P	P	P
247609_at	P	P	P	P	P	P	P	P	P	P	P	P
247610_at	M	P	P	P	P	P	P	P	P	P	P	P
247611_at	P	P	P	P	P	P	P	P	P	P	P	P
247612_at	P	P	P	P	P	P	P	P	P	P	P	P
247613_at	A	A	A	A	M	A	A	A	A	A	A	A
247614_at	A	A	A	A	A	A	A	A	A	A	A	A
247615_at	P	P	A	M	P	P	A	P	P	P	A	P
247616_at	A	A	A	A	A	A	P	A	A	A	A	A
247617_at	P	P	P	P	P	P	P	P	P	P	M	P
247618_at	P	P	P	P	P	P	P	P	P	A	A	P
247619_at	A	A	A	A	A	A	A	A	A	A	A	A
247620_at	A	A	A	A	A	A	A	A	A	A	A	A
247621_at	A	A	P	A	A	A	P	P	P	P	A	P
247622_at	A	P	M	A	M	P	A	P	A	A	M	A
247623_at	A	M	A	A	A	A	A	A	P	P	A	A
247624_at	P	P	P	P	P	P	P	P	P	P	P	P
247625_at	P	P	P	P	P	P	P	P	P	P	P	P
247626_at	P	P	P	P	P	P	P	P	P	P	P	P
247627_at	P	P	P	P	P	P	P	P	P	P	P	P
247628_at	P	P	P	P	P	P	P	P	P	P	P	P
247629_at	A	A	A	A	A	A	A	A	A	A	A	A
247630_at	P	P	P	P	P	P	P	P	P	P	P	P
247631_at	A	P	P	P	P	A	A	P	P	A	A	A
247632_at	P	P	P	P	P	P	P	P	P	P	P	P
247633_at	A	A	A	A	A	A	A	A	A	A	A	A
247634_at	P	P	P	P	P	P	P	P	P	P	P	P
247635_at	P	P	P	P	P	P	P	P	P	P	P	P
247636_at	P	P	P	P	P	P	P	P	P	P	P	P
247637_at	P	P	P	P	P	P	P	P	P	P	P	P
247638_at	P	P	P	P	P	P	P	P	P	P	P	P
247639_s_at	A	A	A	A	A	A	A	A	A	A	A	A
247640_at	A	A	A	A	A	A	A	A	P	A	A	A
247641_at	P	P	P	P	P	P	P	P	P	P	P	P
247642_at	P	P	P	P	P	P	P	P	P	P	P	P
247643_at	A	P	P	A	A	A	P	A	A	A	A	P
247644_s_at	P	P	P	P	P	P	P	P	P	P	P	P
247645_at	P	P	P	P	P	P	P	P	P	P	P	P
247646_at	A	A	A	A	A	A	A	A	A	A	A	A
247647_at	A	A	A	A	A	A	A	A	A	A	A	A
247648_at	P	P	P	A	A	A	A	P	P	A	P	P
247649_at	P	P	P	P	P	A	P	P	P	P	P	P
247650_at	P	P	P	P	P	P	P	P	P	P	P	P
247651_at	P	P	P	P	P	P	P	P	P	P	P	P
247652_at	P	P	P	P	P	P	P	P	P	P	P	P
247653_at	P	P	P	P	P	P	P	P	P	P	P	P
247654_at	P	P	P	P	P	P	P	P	P	P	P	P
247655_at	P	P	P	P	P	P	P	P	P	P	P	P
247656_at	P	P	P	P	P	P	P	P	P	P	P	P
247657_at	P	P	P	P	P	P	P	P	P	P	P	P
247658_at	P	P	P	P	P	P	P	P	P	P	P	P
247659_at	P	P	P	P	P	A	P	P	P	P	P	P
247660_at	A	A	A	A	A	A	A	A	A	A	A	A
247661_at	A	A	A	A	A	A	A	A	A	A	A	A
247662_at	A	A	A	A	A	A	A	A	A	M	A	A
247663_at	A	A	A	A	A	A	A	A	A	A	A	A
247664_at	P	P	P	P	P	P	P	P	P	P	P	P
247665_at	A	A	A	A	A	A	A	A	A	A	A	A
247666_at	A	A	A	A	A	A	A	A	A	A	A	A
247667_at	P	P	P	P	P	P	P	P	P	P	P	P
247668_at	A	A	P	A	A	A	A	A	A	M	A	A
247669_at	P	P	P	P	P	P	P	P	P	P	P	P
247670_at	P	P	P	P	P	P	P	P	P	P	P	P
247671_at	P	P	P	P	P	P	P	P	P	P	P	P
247672_at	A	A	A	A	A	A	A	A	A	A	A	A
247673_at	P	P	P	P	P	P	P	P	P	P	P	P
247674_at	P	P	P	P	P	P	P	P	P	P	P	P
247675_at	P	P	P	P	P	P	P	P	P	P	P	P
247676_at	P	P	P	P	P	P	P	P	P	P	P	P
247677_at	P	P	P	P	P	P	P	P	P	P	P	P
247678_at	P	P	P	P	P	P	P	P	P	P	P	P
247679_at	P	P	P	P	P	P	P	P	P	P	P	P
247680_s_at	A	A	A	A	A	A	A	A	A	A	A	A
247681_at	A	A	A	A	A	A	A	A	A	A	A	A
247682_at	A	A	P	P	A	P	P	P	P	M	A	A
247683_at	A	A	A	A	A	A	A	A	P	A	A	P
247684_at	A	A	A	A	A	A	A	A	A	A	A	A
247685_at	A	A	A	A	P	P	P	A	P	M	A	P
247686_at	M	M	P	A	P	M	P	M	P	P	M	P
247687_at	P	P	P	P	P	P	P	P	P	P	P	P
247688_at	A	A	M	A	A	A	A	P	P	P	P	A
247689_at	P	P	P	P	P	P	P	P	P	P	P	P
247690_at	P	P	P	P	P	P	P	P	P	P	P	P
247691_at	P	P	P	P	P	P	P	P	P	P	P	P
247692_s_at	P	P	P	P	P	P	P	P	P	P	P	P
247693_at	P	P	P	P	P	P	P	P	P	P	P	P
247694_at	P	P	P	P	P	P	P	P	P	P	P	P
247695_at	P	P	P	P	P	P	P	P	P	P	P	P
247696_at	P	P	P	P	P	P	P	P	P	P	P	P
247697_at	A	P	A	A	A	A	A	A	A	A	A	A
247698_at	P	P	P	P	P	P	P	P	P	P	P	P
247699_at	P	P	P	P	P	P	P	P	P	P	P	P
247700_at	A	A	A	A	A	A	A	A	A	A	A	A
247701_at	A	P	A	A	A	A	A	M	M	A	A	A
247702_at	P	P	P	P	P	P	P	P	P	P	P	P
247703_at	P	P	P	P	P	P	P	P	P	P	P	P
247704_at	P	P	P	P	P	P	P	P	P	P	P	P
247705_at	P	P	P	P	P	P	P	P	P	P	P	P
247706_at	P	P	P	P	P	P	P	P	P	P	P	P
247707_at	P	P	P	P	P	P	P	P	P	P	P	P
247708_at	P	P	P	P	P	P	P	P	P	P	P	P
247709_at	P	P	P	P	P	P	P	A	P	P	P	P
247710_at	A	A	P	A	P	P	P	P	P	A	A	P
247711_at	A	A	A	A	A	A	A	A	A	A	A	A
247712_at	P	P	P	P	P	P	P	P	P	P	P	P
247713_at	A	A	A	A	A	A	P	A	A	A	A	A
247714_at	P	P	P	P	P	P	P	P	P	P	P	P
247715_at	A	A	A	A	P	A	A	A	A	A	A	A
247716_at	P	P	P	P	P	P	P	P	P	P	P	P
247717_at	P	P	P	P	P	P	P	P	P	P	P	P
247718_at	A	A	A	A	A	A	A	A	A	A	A	A
247719_at	A	A	A	A	A	A	A	A	A	A	A	A
247720_at	P	P	P	P	P	P	P	P	P	P	P	P
247721_at	P	P	P	P	P	P	P	P	P	P	P	P
247722_at	P	P	P	P	P	P	P	P	P	P	P	P
247723_at	P	P	P	P	P	P	P	P	P	P	P	P
247724_at	P	P	P	P	P	P	P	P	P	P	P	P
247725_at	P	P	P	P	P	P	P	P	P	P	P	P
247726_at	P	P	P	P	P	P	P	P	P	P	P	P
247727_at	P	P	P	P	P	P	P	P	P	P	P	P
247728_at	A	A	A	A	A	A	A	A	A	A	P	A
247729_at	P	P	P	P	P	P	P	P	P	P	P	P
247730_at	A	A	A	A	A	A	A	A	A	A	A	A
247731_at	P	P	P	P	P	P	P	P	P	P	P	P
247732_at	A	A	A	A	A	A	P	A	A	A	A	A
247733_at	P	P	P	P	P	P	P	P	P	P	P	P
247734_at	P	P	P	P	P	P	P	P	P	P	P	P
247735_at	P	P	P	P	P	P	P	P	P	P	P	P
247736_at	A	A	A	A	A	A	A	A	A	A	A	A
247737_at	A	A	A	A	A	A	A	A	A	A	A	A
247738_at	P	P	P	P	P	P	P	P	P	P	P	P
247739_at	P	P	P	P	P	P	P	P	P	P	P	P
247740_at	P	P	P	M	P	P	P	P	P	P	P	P
247741_at	P	P	P	P	P	P	P	P	P	P	P	P
247742_at	P	P	P	P	P	P	P	P	P	P	P	P
247743_at	P	P	P	P	P	P	P	P	P	P	P	P
247744_at	A	A	A	A	A	A	A	P	A	A	A	A
247745_at	P	P	P	P	P	P	P	P	P	P	P	P
247746_at	P	P	P	P	P	P	P	P	P	P	P	P
247747_at	P	P	P	P	P	P	P	P	P	P	P	P
247748_at	P	P	P	P	P	P	P	P	P	P	P	P
247749_at	A	A	A	A	A	A	A	A	A	A	A	A
247750_at	P	P	P	P	P	P	P	P	P	P	P	P
247751_at	A	P	P	M	A	A	P	P	P	P	A	P
247752_at	A	A	A	A	A	A	A	A	A	A	A	P
247753_at	A	A	A	A	A	A	A	A	A	A	A	A
247754_at	P	P	P	P	P	P	P	P	P	P	P	P
247755_at	P	P	P	P	P	P	P	P	P	P	P	P
247756_at	A	A	A	A	A	A	A	A	A	A	A	A
247757_at	A	A	A	A	A	A	A	A	A	A	A	A
247758_at	A	A	A	M	A	P	A	A	A	A	A	A
247759_at	A	A	A	A	A	A	A	A	A	A	A	A
247760_at	A	A	A	A	A	A	A	A	A	A	A	A
247761_at	P	P	P	P	P	P	P	P	P	P	P	P
247762_at	A	A	A	A	A	A	A	A	A	A	A	A
247763_at	P	P	P	P	P	P	P	P	P	P	P	P
247764_at	A	A	A	A	A	A	A	A	A	P	M	A
247765_at	P	P	P	P	P	P	P	P	P	P	P	P
247766_at	P	P	P	P	P	P	P	P	P	P	P	P
247767_at	A	M	P	A	A	A	P	M	A	A	A	P
247768_at	P	P	P	P	P	P	P	P	P	P	P	P
247769_at	A	A	A	A	A	A	A	A	A	A	A	A
247770_at	P	P	P	P	P	P	P	P	P	P	P	P
247771_at	P	P	P	P	P	P	P	P	P	P	P	P
247772_at	A	A	A	A	A	A	A	A	A	A	A	A
247773_at	A	A	M	P	P	P	M	A	A	A	A	P
247774_at	P	P	P	P	P	P	P	P	P	P	P	P
247775_at	P	P	P	P	P	P	P	P	P	P	P	P
247776_at	P	P	P	P	P	P	P	P	P	P	P	P
247777_at	P	P	P	P	P	P	P	P	P	P	P	P
247778_at	P	P	P	P	P	P	P	P	P	P	P	P
247779_at	P	P	P	P	P	P	P	P	P	P	P	P
247780_at	P	P	P	P	P	P	P	P	P	P	P	P
247781_at	P	P	P	M	A	A	P	P	P	P	P	P
247782_at	M	P	P	P	P	A	P	P	A	P	P	P
247783_at	P	P	P	P	P	P	P	P	P	P	P	P
247784_at	A	A	A	A	A	A	A	A	A	A	A	A
247785_at	A	A	A	A	A	A	A	A	A	A	A	A
247786_at	P	P	P	P	P	P	P	P	P	P	P	P
247787_at	P	P	P	P	P	P	P	P	P	P	P	P
247788_at	P	P	P	P	P	P	P	P	P	P	P	P
247789_at	P	P	P	P	P	P	A	P	P	P	P	P
247790_at	P	P	P	P	P	P	P	P	P	P	P	P
247791_at	P	P	P	P	P	P	P	P	P	P	P	P
247792_at	P	P	P	P	P	P	P	P	P	P	P	P
247793_at	P	P	P	P	P	P	P	P	P	P	P	P
247794_at	P	P	P	P	P	P	P	P	P	P	P	P
247795_at	P	P	P	P	P	P	P	P	P	P	P	P
247796_at	A	A	A	A	A	A	A	A	A	A	A	A
247797_at	A	A	M	A	A	A	A	A	A	A	A	A
247798_at	A	A	A	A	A	A	A	A	A	A	A	A
247799_at	A	A	A	A	A	A	A	A	A	A	A	A
247800_at	P	P	P	P	P	P	P	P	P	P	P	P
247801_at	P	P	P	P	P	P	P	P	P	P	P	P
247802_at	A	A	A	A	A	A	A	A	A	A	A	A
247803_at	P	P	P	P	P	P	P	P	P	P	P	P
247804_at	A	A	P	A	A	A	A	M	A	A	A	A
247805_at	A	A	A	A	A	A	A	A	A	A	A	A
247806_at	P	P	P	P	P	P	P	P	P	P	P	P
247807_at	A	A	A	A	A	A	A	A	A	A	A	A
247808_at	P	P	P	P	P	P	P	P	P	P	P	P
247809_at	P	A	A	M	P	A	A	A	A	P	P	M
