Reporter Identifier	VALUE
AT1G01010_1	6313
AT1G01020_1	445
AT1G01020_2	119
AT1G01030_1	590
AT1G01040_1	4797
AT1G01046_1	409
AT1G01050_1	8932
AT1G01060_1	508
AT1G01060_3	45
AT1G01070_1	3115
AT1G01070_2	177
AT1G01073_1	146
AT1G01080_1	2025
AT1G01080_2	1618
AT1G01090_1	19044
AT1G01100_1	9550
AT1G01100_2	10568
AT1G01100_3	12216
AT1G01110_1	2637
AT1G01110_2	4242
AT1G01115_1	37
AT1G01120_1	9089
AT1G01130_1	989
AT1G01140_1	4258
AT1G01150_1	359
AT1G01160_1	7490
AT1G01160_2	1743
AT1G01170_1	1865
AT1G01170_2	3774
AT1G01180_1	111
AT1G01183_1	70
AT1G01190_1	15216
AT1G01200_1	1320
AT1G01210_1	3043
AT1G01220_1	3240
AT1G01225_1	1714
AT1G01230_1	5295
AT1G01240_1	3896
AT1G01240_2	3720
AT1G01240_3	409
AT1G01250_1	426
AT1G01260_1	3444
AT1G01280_1	116
AT1G01290_1	1901
AT1G01290_2	4095
AT1G01300_1	16805
AT1G01305_1	68
AT1G01310_1	183
AT1G01320_1	3756
AT1G01340_1	2986
AT1G01350_1	1129
AT1G01355_1	538
AT1G01360_1	2296
AT1G01370_1	2740
AT1G01370_2	2769
AT1G01380_1	1183
AT1G01390_1	651
AT1G01400_1	285
AT1G01410_1	126
AT1G01420_1	712
AT1G01430_1	4363
AT1G01440_1	3802
AT1G01448_1	2147
AT1G01448_2	128
AT1G01448_3	813
AT1G01450_1	434
AT1G01453_1	115
AT1G01453_2	146
AT1G01460_1	174
AT1G01470_1	10880
AT1G01471_1	137
AT1G01480_1	1190
AT1G01490_1	742
AT1G01490_2	7900
AT1G01500_1	2261
AT1G01510_1	7938
AT1G01520_1	249
AT1G01530_1	94
AT1G01540_1	3590
AT1G01540_2	6204
AT1G01550_1	11047
AT1G01550_2	11863
AT1G01560_1	597
AT1G01560_2	648
AT1G01570_1	372
AT1G01580_1	2620
AT1G01590_1	761
AT1G01600_1	878
AT1G01610_1	8523
AT1G01620_1	24426
AT1G01620_2	17715
AT1G01630_1	1562
AT1G01640_1	2117
AT1G01640_2	4793
AT1G01650_1	8397
AT1G01660_1	927
AT1G01670_1	957
AT1G01680_1	167
AT1G01690_1	2142
AT1G01695_1	195
AT1G01700_1	502
AT1G01710_1	2670
AT1G01720_1	10183
AT1G01725_1	1932
AT1G01730_1	1782
AT1G01740_1	1711
AT1G01750_1	1978
AT1G01760_1	1604
AT1G01770_1	3803
AT1G01780_1	11168
AT1G01790_1	4839
AT1G01800_1	5918
AT1G01800_2	6107
AT1G01810_1	611
AT1G01820_1	6739
AT1G01830_1	2664
AT1G01840_1	753
AT1G01860_1	1381
AT1G01870_1	875
AT1G01880_1	1794
AT1G01900_1	2748
AT1G01910_1	10526
AT1G01910_3	10312
AT1G01910_4	135
AT1G01910_5	10956
AT1G01920_1	731
AT1G01920_2	6348
AT1G01930_1	5066
AT1G01940_1	7458
AT1G01950_1	5485
AT1G01950_3	5320
AT1G01960_1	10950
AT1G01970_1	1734
AT1G01980_1	237
AT1G01990_1	2606
AT1G02000_1	2313
AT1G02010_1	2590
AT1G02020_1	2233
AT1G02020_2	292
AT1G02030_1	397
AT1G02040_1	235
AT1G02050_1	3103
AT1G02060_1	1853
AT1G02065_1	353
AT1G02065_2	365
AT1G02070_1	323
AT1G02080_1	8205
AT1G02090_1	8974
AT1G02090_2	8574
AT1G02090_3	1138
AT1G02100_1	4817
AT1G02100_2	7394
AT1G02100_3	7383
AT1G02110_1	9540
AT1G02120_1	7944
AT1G02130_1	4498
AT1G02136_1	468
AT1G02140_1	13550
AT1G02145_1	5536
AT1G02145_2	2293
AT1G02145_3	5267
AT1G02150_1	4882
AT1G02160_1	4170
AT1G02160_2	3719
AT1G02170_1	7123
AT1G02180_1	2111
AT1G02190_1	147
AT1G02190_2	188
AT1G02205_1	762
AT1G02210_1	67
AT1G02220_1	1129
AT1G02228_1	181
AT1G02230_1	794
AT1G02250_1	195
AT1G02260_1	1007
AT1G02270_1	4724
AT1G02280_1	6151
AT1G02290_1	3323
AT1G02300_1	4693
AT1G02305_1	10153
AT1G02310_1	1538
AT1G02320_1	147
AT1G02330_1	2896
AT1G02335_1	7806
AT1G02340_1	215
AT1G02350_1	325
AT1G02360_1	3771
AT1G02370_1	1983
AT1G02380_1	1161
AT1G02390_1	3498
AT1G02391_1	120
AT1G02400_1	6595
AT1G02405_1	339
AT1G02410_1	5119
AT1G02420_1	1322
AT1G02430_1	1733
AT1G02440_1	803
AT1G02450_1	432
AT1G02460_1	2648
AT1G02470_1	165
AT1G02470_2	260
