Reporter Identifier	VALUE
AT1G01010_1	6444
AT1G01020_1	647
AT1G01020_2	102
AT1G01030_1	396
AT1G01040_1	4297
AT1G01046_1	204
AT1G01050_1	10665
AT1G01060_1	743
AT1G01060_3	28
AT1G01070_1	2551
AT1G01070_2	134
AT1G01073_1	116
AT1G01080_1	1405
AT1G01080_2	1111
AT1G01090_1	19716
AT1G01100_1	8688
AT1G01100_2	11136
AT1G01100_3	12503
AT1G01110_1	2874
AT1G01110_2	5456
AT1G01115_1	27
AT1G01120_1	8600
AT1G01130_1	1003
AT1G01140_1	1029
AT1G01150_1	279
AT1G01160_1	7338
AT1G01160_2	1436
AT1G01170_1	1758
AT1G01170_2	4440
AT1G01180_1	253
AT1G01183_1	73
AT1G01190_1	12297
AT1G01200_1	606
AT1G01210_1	2810
AT1G01220_1	2553
AT1G01225_1	1270
AT1G01230_1	4902
AT1G01240_1	3471
AT1G01240_2	3416
AT1G01240_3	94
AT1G01250_1	426
AT1G01260_1	3255
AT1G01280_1	149
AT1G01290_1	958
AT1G01290_2	3213
AT1G01300_1	15192
AT1G01305_1	44
AT1G01310_1	184
AT1G01320_1	2520
AT1G01340_1	4126
AT1G01350_1	1216
AT1G01355_1	454
AT1G01360_1	4300
AT1G01370_1	1755
AT1G01370_2	1643
AT1G01380_1	712
AT1G01390_1	1043
AT1G01400_1	334
AT1G01410_1	137
AT1G01420_1	691
AT1G01430_1	4673
AT1G01440_1	4576
AT1G01448_1	3235
AT1G01448_2	123
AT1G01448_3	1212
AT1G01450_1	616
AT1G01453_1	142
AT1G01453_2	156
AT1G01460_1	168
AT1G01470_1	9673
AT1G01471_1	190
AT1G01480_1	965
AT1G01490_1	510
AT1G01490_2	10595
AT1G01500_1	2349
AT1G01510_1	7104
AT1G01520_1	163
AT1G01530_1	87
AT1G01540_1	2788
AT1G01540_2	6140
AT1G01550_1	10143
AT1G01550_2	11063
AT1G01560_1	499
AT1G01560_2	485
AT1G01570_1	282
AT1G01580_1	3652
AT1G01590_1	791
AT1G01600_1	635
AT1G01610_1	6347
AT1G01620_1	23694
AT1G01620_2	18402
AT1G01630_1	1865
AT1G01640_1	2940
AT1G01640_2	4623
AT1G01650_1	8497
AT1G01660_1	467
AT1G01670_1	231
AT1G01680_1	232
AT1G01690_1	979
AT1G01695_1	150
AT1G01700_1	424
AT1G01710_1	2396
AT1G01720_1	9337
AT1G01725_1	2671
AT1G01730_1	2497
AT1G01740_1	1523
AT1G01750_1	2250
AT1G01760_1	1124
AT1G01770_1	3317
AT1G01780_1	13288
AT1G01790_1	3427
AT1G01800_1	5890
AT1G01800_2	6274
AT1G01810_1	583
AT1G01820_1	7076
AT1G01830_1	3068
AT1G01840_1	1166
AT1G01860_1	1111
AT1G01870_1	1760
AT1G01880_1	1016
AT1G01900_1	2267
AT1G01910_1	10401
AT1G01910_3	9732
AT1G01910_4	39
AT1G01910_5	10497
AT1G01920_1	325
AT1G01920_2	4625
AT1G01930_1	4509
AT1G01940_1	6962
AT1G01950_1	4339
AT1G01950_3	4688
AT1G01960_1	9888
AT1G01970_1	1251
AT1G01980_1	413
AT1G01990_1	3684
AT1G02000_1	2450
AT1G02010_1	1901
AT1G02020_1	2838
AT1G02020_2	524
AT1G02030_1	442
AT1G02040_1	417
AT1G02050_1	3362
AT1G02060_1	1491
AT1G02065_1	585
AT1G02065_2	361
AT1G02070_1	249
AT1G02080_1	6667
AT1G02090_1	9962
AT1G02090_2	9051
AT1G02090_3	810
AT1G02100_1	3843
AT1G02100_2	7131
AT1G02100_3	6940
AT1G02110_1	9344
AT1G02120_1	7296
AT1G02130_1	4474
AT1G02136_1	825
AT1G02140_1	12794
AT1G02145_1	4474
AT1G02145_2	1747
AT1G02145_3	4306
AT1G02150_1	5385
AT1G02160_1	5416
AT1G02160_2	4820
AT1G02170_1	7127
AT1G02180_1	2981
AT1G02190_1	185
AT1G02190_2	267
AT1G02205_1	417
AT1G02210_1	47
AT1G02220_1	3226
AT1G02228_1	420
AT1G02230_1	756
AT1G02250_1	181
AT1G02260_1	4149
AT1G02270_1	4240
AT1G02280_1	4452
AT1G02290_1	2935
AT1G02300_1	1355
AT1G02305_1	11052
AT1G02310_1	885
AT1G02320_1	132
