Reporter Identifier	VALUE
AT1G01010_1	5689
AT1G01020_1	473
AT1G01020_2	151
AT1G01030_1	798
AT1G01040_1	3831
AT1G01046_1	501
AT1G01050_1	8306
AT1G01060_1	1519
AT1G01060_3	32
AT1G01070_1	2979
AT1G01070_2	162
AT1G01073_1	77
AT1G01080_1	1888
AT1G01080_2	1495
AT1G01090_1	20700
AT1G01100_1	8705
AT1G01100_2	10381
AT1G01100_3	10720
AT1G01110_1	3281
AT1G01110_2	5745
AT1G01115_1	33
AT1G01120_1	8783
AT1G01130_1	1248
AT1G01140_1	1327
AT1G01150_1	350
AT1G01160_1	7884
AT1G01160_2	1975
AT1G01170_1	1203
AT1G01170_2	2473
AT1G01180_1	296
AT1G01183_1	58
AT1G01190_1	11138
AT1G01200_1	1061
AT1G01210_1	2063
AT1G01220_1	3484
AT1G01225_1	1392
AT1G01230_1	4975
AT1G01240_1	3687
AT1G01240_2	3778
AT1G01240_3	268
AT1G01250_1	249
AT1G01260_1	3461
AT1G01280_1	90
AT1G01290_1	1477
AT1G01290_2	3662
AT1G01300_1	15534
AT1G01305_1	54
AT1G01310_1	135
AT1G01320_1	3482
AT1G01340_1	5020
AT1G01350_1	1500
AT1G01355_1	252
AT1G01360_1	2740
AT1G01370_1	2317
AT1G01370_2	2306
AT1G01380_1	918
AT1G01390_1	453
AT1G01400_1	253
AT1G01410_1	97
AT1G01420_1	832
AT1G01430_1	4797
AT1G01440_1	4936
AT1G01448_1	3218
AT1G01448_2	99
AT1G01448_3	1423
AT1G01450_1	426
AT1G01453_1	159
AT1G01453_2	174
AT1G01460_1	145
AT1G01470_1	8479
AT1G01471_1	108
AT1G01480_1	1161
AT1G01490_1	919
AT1G01490_2	8486
AT1G01500_1	2868
AT1G01510_1	7580
AT1G01520_1	222
AT1G01530_1	72
AT1G01540_1	3422
AT1G01540_2	5597
AT1G01550_1	9871
AT1G01550_2	10688
AT1G01560_1	556
AT1G01560_2	641
AT1G01570_1	436
AT1G01580_1	5506
AT1G01590_1	546
AT1G01600_1	1047
AT1G01610_1	8052
AT1G01620_1	25659
AT1G01620_2	18211
AT1G01630_1	2385
AT1G01640_1	1802
AT1G01640_2	3883
AT1G01650_1	8539
AT1G01660_1	784
AT1G01670_1	446
AT1G01680_1	275
AT1G01690_1	1825
AT1G01695_1	234
AT1G01700_1	700
AT1G01710_1	2382
AT1G01720_1	9547
AT1G01725_1	1887
AT1G01730_1	1991
AT1G01740_1	1824
AT1G01750_1	2602
AT1G01760_1	1774
AT1G01770_1	3540
AT1G01780_1	11613
AT1G01790_1	4392
AT1G01800_1	5402
AT1G01800_2	5357
AT1G01810_1	535
AT1G01820_1	7096
AT1G01830_1	3134
AT1G01840_1	799
AT1G01860_1	1405
AT1G01870_1	607
AT1G01880_1	1779
AT1G01900_1	2476
AT1G01910_1	11189
AT1G01910_3	11528
AT1G01910_4	137
AT1G01910_5	11839
AT1G01920_1	686
AT1G01920_2	6089
AT1G01930_1	5373
AT1G01940_1	6496
AT1G01950_1	4924
AT1G01950_3	4382
AT1G01960_1	11362
AT1G01970_1	1946
AT1G01980_1	206
AT1G01990_1	4350
AT1G02000_1	3052
AT1G02010_1	2342
AT1G02020_1	2499
AT1G02020_2	516
AT1G02030_1	371
AT1G02040_1	195
AT1G02050_1	3511
AT1G02060_1	2411
AT1G02065_1	335
AT1G02065_2	264
AT1G02070_1	304
AT1G02080_1	6879
AT1G02090_1	8812
AT1G02090_2	9223
AT1G02090_3	1020
AT1G02100_1	4161
AT1G02100_2	7100
AT1G02100_3	6546
AT1G02110_1	9675
AT1G02120_1	8129
AT1G02130_1	4768
AT1G02136_1	340
AT1G02140_1	12557
AT1G02145_1	4900
AT1G02145_2	1872
AT1G02145_3	4626
AT1G02150_1	5382
AT1G02160_1	3872
AT1G02160_2	3503
AT1G02170_1	7381
AT1G02180_1	2713
AT1G02190_1	123
AT1G02190_2	121
AT1G02205_1	809
AT1G02210_1	44
AT1G02220_1	2934
AT1G02228_1	214
AT1G02230_1	817
AT1G02250_1	163
AT1G02260_1	3692
AT1G02270_1	4284
AT1G02280_1	4272
AT1G02290_1	3573
AT1G02300_1	1504
AT1G02305_1	9839
AT1G02310_1	1292
AT1G02320_1	168
AT1G02330_1	3439
AT1G02335_1	7157
AT1G02340_1	213
AT1G02350_1	399
AT1G02360_1	4383
AT1G02370_1	2209
AT1G02380_1	1105
AT1G02390_1	3298
AT1G02391_1	101
AT1G02400_1	5842
AT1G02405_1	301
AT1G02410_1	4671
AT1G02420_1	1554
AT1G02430_1	2221
AT1G02440_1	1014
AT1G02450_1	441
AT1G02460_1	2749
AT1G02470_1	174
AT1G02470_2	253
AT1G02475_1	1537
AT1G02480_1	1050
AT1G02490_1	526
AT1G02500_1	21206
AT1G02510_1	268
AT1G02520_1	5991
AT1G02530_1	2299
AT1G02540_1	166
AT1G02550_1	37
AT1G02560_1	6570
AT1G02570_1	370
AT1G02580_1	147
AT1G02590_1	198
AT1G02600_1	430
AT1G02610_1	439
AT1G02620_1	237
AT1G02630_1	581
AT1G02630_2	304
AT1G02640_1	15047
AT1G02650_1	666
AT1G02660_1	7452
AT1G02670_1	702
AT1G02680_1	2912
AT1G02681_1	152
AT1G02690_1	9964
AT1G02700_1	247
AT1G02710_1	3229
AT1G02720_1	2994
AT1G02720_2	1081
AT1G02730_1	10779
AT1G02740_1	1865
AT1G02750_1	2655
AT1G02770_1	290
AT1G02780_1	14634
AT1G02790_1	113
AT1G02800_1	227
AT1G02810_1	7091
AT1G02813_1	256
AT1G02816_1	1744
AT1G02820_1	172
AT1G02830_1	68
AT1G02840_1	11653
AT1G02840_2	4011
AT1G02840_3	11849
AT1G02850_1	2238
AT1G02850_2	1700
AT1G02850_3	2085
AT1G02850_4	1712
AT1G02850_5	1906
AT1G02860_1	6988
AT1G02860_2	6416
AT1G02870_1	5535
AT1G02880_1	169
AT1G02880_2	70
AT1G02880_3	931
AT1G02880_4	939
AT1G02890_1	6939
AT1G02890_2	7142
AT1G02900_1	6124
AT1G02910_1	1473
AT1G02920_1	2616
AT1G02930_1	2018
AT1G02940_1	71
AT1G02950_1	6705
AT1G02950_2	6430
AT1G02950_4	5922
AT1G02952_1	1380
AT1G02960_1	3656
AT1G02960_2	3200
AT1G02960_3	2014
AT1G02965_1	167
AT1G02970_1	2982
AT1G02980_1	177
AT1G02990_1	1834
AT1G02990_2	3230
AT1G03000_1	4260
AT1G03010_1	1706
AT1G03020_1	608
AT1G03022_1	86
AT1G03030_1	1588
AT1G03040_1	9572
AT1G03050_1	109
AT1G03055_1	485
AT1G03055_2	239
AT1G03060_1	8426
AT1G03070_1	2760
AT1G03080_1	6961
AT1G03090_1	8018
AT1G03100_1	1772
AT1G03103_1	132
AT1G03106_1	73
AT1G03110_1	5998
AT1G03120_1	170
AT1G03130_1	1474
AT1G03140_1	5040
AT1G03150_1	1812
AT1G03160_1	2302
AT1G03160_2	241
AT1G03170_1	297
AT1G03180_1	1671
AT1G03180_2	207
AT1G03190_1	3634
AT1G03200_1	1068
AT1G03210_1	4456
AT1G03220_1	15885
AT1G03230_1	13910
AT1G03240_1	46
AT1G03250_1	3505
AT1G03260_1	5218
AT1G03270_1	1472
AT1G03280_1	4415
AT1G03290_1	4617
AT1G03300_1	1795
AT1G03310_1	1954
AT1G03320_1	217
