Reporter Identifier	VALUE
AT1G02990_1	1613
AT1G02990_2	2885
AT1G03000_1	3794
AT1G03010_1	974
AT1G03020_1	862
AT1G03022_1	101
AT1G03030_1	1409
AT1G03040_1	10318
AT1G03050_1	155
AT1G03055_1	513
AT1G03055_2	340
AT1G03060_1	8374
AT1G03070_1	2953
AT1G03080_1	6764
AT1G03090_1	5584
AT1G03100_1	1619
AT1G03103_1	192
AT1G03106_1	93
AT1G03110_1	6445
AT1G03120_1	245
AT1G03130_1	1500
AT1G03140_1	5154
AT1G03150_1	1979
AT1G03160_1	2129
AT1G03160_2	320
AT1G03170_1	364
AT1G03180_1	1814
AT1G03180_2	196
AT1G03190_1	3481
AT1G03200_1	1015
AT1G03210_1	4141
AT1G03220_1	15686
AT1G03230_1	15768
AT1G03240_1	92
AT1G03250_1	3959
AT1G03260_1	4813
AT1G03270_1	1570
AT1G03280_1	4306
AT1G03290_1	4193
AT1G03300_1	1691
AT1G03310_1	2114
AT1G03320_1	314
AT1G03330_1	5456
AT1G03340_1	364
AT1G03350_1	8493
AT1G03360_1	4813
AT1G03370_1	1344
AT1G03380_1	5058
AT1G03390_1	243
AT1G03400_1	482
AT1G03410_1	4258
AT1G03420_1	3083
AT1G03430_1	3349
AT1G03440_1	3649
AT1G03445_1	274
AT1G03457_1	4090
AT1G03457_2	1678
AT1G03470_1	2193
AT1G03470_2	1263
AT1G03475_1	5345
AT1G03490_1	304
AT1G03495_1	1625
AT1G03502_1	1262
AT1G03506_1	708
AT1G03510_1	783
AT1G03520_1	941
AT1G03520_2	1647
AT1G03530_1	7588
AT1G03540_1	1142
AT1G03550_1	4155
AT1G03560_1	2460
AT1G03570_1	830
AT1G03580_1	172
AT1G03590_1	8531
AT1G03600_1	783
AT1G03610_1	5652
AT1G03620_1	3719
AT1G03630_1	923
AT1G03630_2	749
AT1G03650_1	1547
AT1G03660_1	492
AT1G03670_1	556
AT1G03680_1	3088
AT1G03687_1	2176
AT1G03687_2	572
AT1G03700_1	366
AT1G03710_1	245
AT1G03710_2	574
AT1G03720_1	88
AT1G03730_1	2125
AT1G03740_1	4593
AT1G03740_2	1666
AT1G03743_1	143
AT1G03746_1	252
AT1G03750_1	2494
AT1G03760_1	5281
AT1G03770_1	4299
AT1G03780_1	319
AT1G03780_2	4673
AT1G03790_1	101
AT1G03800_1	634
AT1G03810_1	371
AT1G03820_1	10130
AT1G03830_1	4722
AT1G03840_1	4258
AT1G03850_1	216
AT1G03850_2	3112
AT1G03860_1	7505
AT1G03860_2	6266
AT1G03860_3	218
AT1G03870_1	13512
AT1G03880_1	127
AT1G03890_1	249
AT1G03900_1	9284
AT1G03905_1	1469
AT1G03910_1	7783
AT1G03920_1	1689
AT1G03930_1	4705
AT1G03935_1	1494
AT1G03940_1	1956
AT1G03950_1	1266
AT1G03960_1	1390
AT1G03970_1	5179
AT1G03980_1	781
AT1G03982_1	73
AT1G03990_1	1919
AT1G04000_1	3473
AT1G04010_1	4820
AT1G04020_1	3329
AT1G04030_1	4106
AT1G04040_1	14663
AT1G04050_1	4148
AT1G04070_1	1903
AT1G04080_1	8400
AT1G04090_1	627
AT1G04100_1	1118
AT1G04110_1	241
AT1G04120_1	6297
AT1G04130_1	2313
AT1G04140_1	11682
AT1G04140_2	7859
AT1G04150_1	551
AT1G04160_1	3219
AT1G04170_1	13381
AT1G04171_1	1217
AT1G04180_1	3409
AT1G04190_1	8750
AT1G04200_1	7444
AT1G04210_1	5753
AT1G04220_1	4033
AT1G04230_1	2072
AT1G04240_1	3023
AT1G04250_1	7038
AT1G04260_1	3934
AT1G04270_1	15191
AT1G04270_2	11229
AT1G04280_1	7531
AT1G04290_1	2826
AT1G04295_1	1820
AT1G04300_1	11279
AT1G04310_1	626
AT1G04330_1	1408
AT1G04340_1	4653
AT1G04350_1	317
AT1G04360_1	1878
AT1G04370_1	915
AT1G04380_1	205
AT1G04390_1	2590
AT1G04400_1	10159
AT1G04400_2	10329
AT1G04410_1	16968
AT1G04420_1	1168
AT1G04425_1	5703
AT1G04430_1	14341
AT1G04430_2	13948
AT1G04440_1	10417
AT1G04445_1	500
AT1G04450_1	121
AT1G04457_1	1355
AT1G04470_1	176
AT1G04480_1	13056
AT1G04490_1	1871
AT1G04500_1	57
AT1G04501_1	55
AT1G04510_1	8890
AT1G04520_1	3981
AT1G04530_1	2098
AT1G04540_1	590
AT1G04550_1	210
AT1G04550_2	5521
AT1G04555_1	695
AT1G04560_1	343
AT1G04570_1	1385
AT1G04580_1	1131
AT1G04590_1	1867
AT1G04600_1	223
AT1G04610_1	1880
AT1G04620_1	953
AT1G04625_1	34
AT1G04630_1	9306
AT1G04635_1	877
AT1G04640_1	426
AT1G04640_2	294
AT1G04645_1	209
AT1G04650_1	894
AT1G04660_1	6569
AT1G04670_1	77
AT1G04680_1	18419
AT1G04690_1	12635
AT1G04700_1	795
AT1G04710_1	2511
AT1G04730_1	1587
AT1G04750_1	664
AT1G04750_2	7838
AT1G04760_1	1792
AT1G04770_1	3808
AT1G04778_1	876
AT1G04780_1	7167
AT1G04790_1	6729
AT1G04800_1	566
AT1G04810_1	8277
AT1G04820_1	17090
AT1G04830_1	2883
AT1G04840_1	669
AT1G04850_1	10595
AT1G04860_1	4894
AT1G04870_1	8999
AT1G04870_2	9528
AT1G04880_1	351
AT1G04890_1	120
AT1G04900_1	2377
AT1G04910_1	7974
AT1G04920_1	490
AT1G04930_1	1924
AT1G04940_1	6765
AT1G04945_1	1614
AT1G04945_2	2634
AT1G04950_1	5126
AT1G04960_1	2382
AT1G04960_2	101
AT1G04970_1	1705
AT1G04970_2	3637
AT1G04980_1	4102
AT1G04985_1	4103
AT1G04990_1	176
AT1G04990_2	3923
AT1G05000_1	1590
AT1G05000_2	927
AT1G05010_1	1827
AT1G05020_1	359
AT1G05030_1	2569
AT1G05040_1	101
AT1G05040_2	93
AT1G05055_1	5996
AT1G05060_1	3905
AT1G05061_1	560
AT1G05065_1	45
AT1G05070_1	7996
AT1G05080_1	148
AT1G05085_1	247
AT1G05090_1	5027
AT1G05100_1	4637
AT1G05120_1	7271
AT1G05135_1	876
AT1G05136_1	170
AT1G05140_1	1035
AT1G05150_1	6324
AT1G05160_1	2088
AT1G05170_1	1011
AT1G05170_2	1315
AT1G05180_1	4483
AT1G05180_3	202
AT1G05190_1	3553
AT1G05200_1	1873
AT1G05205_1	3800
AT1G05210_1	3078
AT1G05220_1	511
AT1G05220_2	80
AT1G05230_1	165
AT1G05230_3	177
AT1G05240_1	4646
AT1G05260_1	11810
AT1G05270_1	8755
AT1G05280_1	1430
AT1G05290_1	112
AT1G05291_1	214
AT1G05300_1	161
AT1G05300_2	52
AT1G05310_1	4372
AT1G05320_1	3340
AT1G05330_1	184
AT1G05340_1	10928
AT1G05350_1	7619
AT1G05360_1	2654
AT1G05370_1	985
AT1G05380_1	3419
AT1G05385_1	684
AT1G05390_1	974
AT1G05400_1	1090
AT1G05400_2	900
AT1G05410_1	1876
AT1G05410_2	5535
AT1G05420_1	1490
AT1G05430_1	5133
AT1G05440_1	728
AT1G05450_1	56
AT1G05450_2	1369
AT1G05460_1	5618
AT1G05470_1	5912
AT1G05490_1	630
AT1G05500_1	7584
AT1G05510_1	161
AT1G05520_1	8304
AT1G05530_1	1610
AT1G05540_1	253
AT1G05550_1	422
AT1G05560_1	2964
AT1G05570_1	6056
AT1G05575_1	2260
AT1G05577_1	188
AT1G05580_1	165
AT1G05580_2	182
AT1G05590_1	3871
AT1G05600_1	992
AT1G05610_1	593
AT1G05615_1	335
AT1G05620_1	4901
AT1G05620_2	8205
AT1G05630_1	1363
AT1G05630_2	2957
AT1G05640_1	1906
AT1G05650_1	1474
AT1G05660_1	5142
AT1G05670_1	1670
AT1G05670_2	280
AT1G05680_1	353
AT1G05690_1	488
AT1G05700_1	521
AT1G05710_1	676
AT1G05710_2	308
AT1G05710_3	3255
AT1G05710_4	92
AT1G05720_1	8577
AT1G05730_1	508
AT1G05740_1	186
AT1G05750_1	488
AT1G05760_1	1749
AT1G05770_1	4372
AT1G05780_1	2457
AT1G05785_1	3540
AT1G05785_2	170
AT1G05790_1	2457
AT1G05800_1	1804
AT1G05805_1	3400
AT1G05810_1	4429
AT1G05820_1	1555
AT1G05820_2	280
AT1G05830_1	6389
AT1G05835_1	1033
AT1G05840_1	5484
AT1G05850_1	20848
AT1G05860_1	2864
AT1G05870_1	1304
AT1G05870_2	3158
AT1G05880_1	137
AT1G05890_1	7294
AT1G05894_1	543
AT1G05900_1	1169
AT1G05900_2	1492
AT1G05910_1	6856
AT1G05920_1	599
AT1G05925_1	130
AT1G05930_1	896
AT1G05940_1	6683
AT1G05950_1	2258
AT1G05960_1	7463
AT1G05970_1	1948
AT1G05970_2	2044
AT1G05980_1	1704
AT1G05990_1	699
AT1G06000_1	7098
AT1G06010_1	2501
AT1G06020_1	425
AT1G06030_1	230
AT1G06040_1	2620
AT1G06040_2	199
AT1G06050_1	1427
AT1G06060_1	2544
AT1G06070_1	8435
AT1G06080_1	3041
AT1G06090_1	4534
AT1G06100_1	607
AT1G06110_1	4856
AT1G06120_1	3033
AT1G06130_1	6093
AT1G06130_2	6097
AT1G06135_1	1395
AT1G06137_1	122
AT1G06140_1	1083
AT1G06145_1	1447
AT1G06148_1	273
AT1G06148_2	520
AT1G06149_1	5243
AT1G06150_1	2759
AT1G06160_1	857
AT1G06170_1	269
AT1G06170_2	612
AT1G06180_1	847
AT1G06190_1	7124
AT1G06190_2	4296
AT1G06200_1	7070
AT1G06210_1	3804
AT1G06210_2	400
AT1G06220_1	8406
AT1G06225_1	525
AT1G06230_1	8912
AT1G06240_1	3723
AT1G06250_1	928
AT1G06260_1	290
AT1G06265_1	1253
AT1G06265_2	1579
AT1G06270_1	4093
AT1G06280_1	443
AT1G06290_1	9723
AT1G06310_1	1064
AT1G06320_1	957
AT1G06330_1	1510
AT1G06340_1	171
AT1G06350_1	1047
AT1G06360_1	767
AT1G06370_1	947
AT1G06380_1	1599
AT1G06390_1	4907
AT1G06390_2	7800
AT1G06400_1	7807
AT1G06410_1	13546
AT1G06420_1	2832
AT1G06430_1	1103
AT1G06440_1	709
AT1G06450_1	5705
AT1G06460_1	1653
AT1G06470_1	4713
AT1G06475_1	1453
AT1G06480_1	1994
AT1G06490_1	6180
AT1G06500_1	3370
AT1G06500_2	188
AT1G06500_3	239
AT1G06500_4	3621
AT1G06510_1	489
AT1G06515_1	3829
AT1G06520_1	6719
AT1G06530_1	9654
AT1G06540_1	1586
AT1G06550_1	6725
AT1G06560_1	7533
AT1G06570_1	3316
AT1G06570_2	2437
AT1G06580_1	763
AT1G06590_1	2187
AT1G06610_1	1314
AT1G06620_1	5386
AT1G06630_1	3717
AT1G06630_2	631
AT1G06630_3	3708
AT1G06640_1	8248
AT1G06640_2	2205
AT1G06640_3	12632
AT1G06645_1	676
AT1G06650_1	2107
AT1G06650_2	2343
AT1G06660_1	1292
AT1G06670_1	11955
AT1G06680_1	3231
AT1G06680_2	3050
AT1G06690_1	1372
AT1G06700_1	9638
AT1G06710_1	1170
AT1G06720_1	8245
AT1G06730_1	3095
AT1G06740_1	2291
AT1G06750_1	215
AT1G06760_1	14505
AT1G06770_1	1502
AT1G06770_2	498
AT1G06780_1	6785
AT1G06790_1	3602
AT1G06790_2	834
AT1G06800_1	3893
AT1G06800_2	2632
AT1G06810_1	1053
AT1G06820_1	3347
AT1G06830_1	2099
AT1G06840_1	4792
AT1G06850_1	2537
AT1G06850_2	3976
AT1G06870_1	7684
AT1G06890_1	1433
AT1G06890_2	10556
AT1G06900_1	7205
AT1G06910_1	982
AT1G06920_1	154
AT1G06923_1	119
AT1G06925_1	314
AT1G06930_1	1036
