Reporter Identifier	VALUE
AT1G01010_1	6109
AT1G01020_1	602
AT1G01020_2	138
AT1G01030_1	552
AT1G01040_1	4146
AT1G01046_1	285
AT1G01050_1	9085
AT1G01060_1	659
AT1G01060_3	34
AT1G01070_1	2797
AT1G01070_2	165
AT1G01073_1	120
AT1G01080_1	1934
AT1G01080_2	1448
AT1G01090_1	19397
AT1G01100_1	8504
AT1G01100_2	11027
AT1G01100_3	11617
AT1G01110_1	3092
AT1G01110_2	5356
AT1G01115_1	32
AT1G01120_1	8115
AT1G01130_1	1223
AT1G01140_1	729
AT1G01150_1	312
AT1G01160_1	7380
AT1G01160_2	1958
AT1G01170_1	1609
AT1G01170_2	3663
AT1G01180_1	246
AT1G01183_1	59
AT1G01190_1	12100
AT1G01200_1	737
AT1G01210_1	2620
AT1G01220_1	3107
AT1G01225_1	1362
AT1G01230_1	5003
AT1G01240_1	3857
AT1G01240_2	3870
AT1G01240_3	163
AT1G01250_1	300
AT1G01260_1	3444
AT1G01280_1	122
AT1G01290_1	1308
AT1G01290_2	3831
AT1G01300_1	13647
AT1G01305_1	57
AT1G01310_1	187
AT1G01320_1	3241
AT1G01340_1	4491
AT1G01350_1	1460
AT1G01355_1	399
AT1G01360_1	3463
AT1G01370_1	2023
AT1G01370_2	1754
AT1G01380_1	911
AT1G01390_1	866
AT1G01400_1	323
AT1G01410_1	131
AT1G01420_1	794
AT1G01430_1	4285
AT1G01440_1	4717
AT1G01448_1	3287
AT1G01448_2	134
AT1G01448_3	383
AT1G01450_1	537
AT1G01453_1	137
AT1G01453_2	190
AT1G01460_1	188
AT1G01470_1	7351
AT1G01471_1	155
AT1G01480_1	918
AT1G01490_1	736
AT1G01490_2	9158
AT1G01500_1	2675
AT1G01510_1	7854
AT1G01520_1	219
AT1G01530_1	90
AT1G01540_1	3608
AT1G01540_2	5603
AT1G01550_1	9556
AT1G01550_2	10301
AT1G01560_1	561
AT1G01560_2	559
AT1G01570_1	278
AT1G01580_1	2727
AT1G01590_1	844
AT1G01600_1	660
AT1G01610_1	6595
AT1G01620_1	24548
AT1G01620_2	18529
AT1G01630_1	2048
AT1G01640_1	2680
AT1G01640_2	5204
AT1G01650_1	8666
AT1G01660_1	464
AT1G01670_1	343
AT1G01680_1	235
AT1G01690_1	1353
AT1G01695_1	181
AT1G01700_1	535
AT1G01710_1	2506
AT1G01720_1	9671
AT1G01725_1	2144
AT1G01730_1	2200
AT1G01740_1	1827
AT1G01750_1	1522
AT1G01760_1	1611
AT1G01770_1	3869
AT1G01780_1	12150
AT1G01790_1	4201
AT1G01800_1	5916
AT1G01800_2	5838
AT1G01810_1	628
AT1G01820_1	7836
AT1G01830_1	3124
AT1G01840_1	950
AT1G01860_1	1279
AT1G01870_1	1246
AT1G01880_1	1523
AT1G01900_1	2445
AT1G01910_1	10499
AT1G01910_3	10542
AT1G01910_4	69
AT1G01910_5	11134
AT1G01920_1	505
AT1G01920_2	5965
AT1G01930_1	4867
AT1G01940_1	7166
AT1G01950_1	4316
AT1G01950_3	4436
AT1G01960_1	10254
AT1G01970_1	1783
AT1G01980_1	304
AT1G01990_1	3859
AT1G02000_1	2329
AT1G02010_1	2274
AT1G02020_1	2643
AT1G02020_2	557
AT1G02030_1	479
AT1G02040_1	336
AT1G02050_1	3666
AT1G02060_1	1992
AT1G02065_1	681
AT1G02065_2	501
AT1G02070_1	292
AT1G02080_1	6911
AT1G02090_1	9081
AT1G02090_2	9218
AT1G02090_3	843
AT1G02100_1	4314
AT1G02100_2	7435
AT1G02100_3	7217
AT1G02110_1	9594
AT1G02120_1	7966
AT1G02130_1	4710
AT1G02136_1	666
AT1G02140_1	13124
AT1G02145_1	4901
AT1G02145_2	1881
AT1G02145_3	4698
AT1G02150_1	5463
AT1G02160_1	4794
AT1G02160_2	4238
AT1G02170_1	7020
AT1G02180_1	3109
AT1G02190_1	176
AT1G02190_2	238
AT1G02205_1	438
AT1G02210_1	52
AT1G02220_1	3651
AT1G02228_1	389
AT1G02230_1	864
AT1G02250_1	180
AT1G02260_1	3940
AT1G02270_1	3916
AT1G02280_1	4488
AT1G02290_1	3652
AT1G02300_1	2183
AT1G02305_1	10770
AT1G02310_1	1085
AT1G02320_1	157
AT1G02330_1	3336
AT1G02335_1	7154
AT1G02340_1	203
AT1G02350_1	299
AT1G02360_1	3839
AT1G02370_1	1939
AT1G02380_1	1026
AT1G02390_1	3238
AT1G02391_1	125
AT1G02400_1	5800
AT1G02405_1	478
AT1G02410_1	5089
AT1G02420_1	982
AT1G02430_1	1989
AT1G02440_1	904
AT1G02450_1	505
AT1G02460_1	2462
AT1G02470_1	104
AT1G02470_2	168
AT1G02475_1	1316
AT1G02480_1	2479
AT1G02490_1	872
AT1G02500_1	21966
AT1G02510_1	475
AT1G02520_1	5790
AT1G02530_1	2621
AT1G02540_1	244
AT1G02550_1	60
AT1G02560_1	6285
AT1G02570_1	256
AT1G02580_1	158
AT1G02590_1	273
AT1G02600_1	927
AT1G02610_1	239
AT1G02620_1	297
AT1G02630_1	767
AT1G02630_2	377
AT1G02640_1	14753
AT1G02650_1	579
AT1G02660_1	6946
AT1G02670_1	443
AT1G02680_1	3202
AT1G02681_1	148
AT1G02690_1	8700
AT1G02700_1	186
AT1G02710_1	3116
AT1G02720_1	2707
AT1G02720_2	726
AT1G02730_1	10471
AT1G02740_1	1717
AT1G02750_1	2833
AT1G02770_1	362
AT1G02780_1	15948
AT1G02790_1	191
AT1G02800_1	199
AT1G02810_1	6047
AT1G02813_1	372
AT1G02816_1	1332
AT1G02820_1	135
AT1G02830_1	79
AT1G02840_1	12055
AT1G02840_2	4429
AT1G02840_3	12603
AT1G02850_1	2216
AT1G02850_2	1908
AT1G02850_3	2130
AT1G02850_4	1728
AT1G02850_5	1995
AT1G02860_1	7162
AT1G02860_2	7062
AT1G02870_1	6047
AT1G02880_1	83
AT1G02880_2	92
AT1G02880_3	885
AT1G02880_4	765
AT1G02890_1	7171
AT1G02890_2	6860
AT1G02900_1	6469
AT1G02910_1	1555
AT1G02920_1	2639
AT1G02930_1	1779
AT1G02940_1	74
AT1G02950_1	7812
AT1G02950_2	7490
AT1G02950_4	7035
AT1G02952_1	1771
AT1G02960_1	4085
AT1G02960_2	3625
AT1G02960_3	2358
AT1G02965_1	258
AT1G02970_1	2291
AT1G02980_1	168
AT1G02990_1	1704
AT1G02990_2	3191
AT1G03000_1	4273
AT1G03010_1	1529
AT1G03020_1	511
AT1G03022_1	88
AT1G03030_1	1452
AT1G03040_1	11229
AT1G03050_1	138
AT1G03055_1	357
AT1G03055_2	311
AT1G03060_1	7867
AT1G03070_1	2540
AT1G03080_1	7049
AT1G03090_1	7616
AT1G03100_1	1462
AT1G03103_1	176
AT1G03106_1	71
AT1G03110_1	5528
AT1G03120_1	222
AT1G03130_1	1430
AT1G03140_1	5381
AT1G03150_1	1607
AT1G03160_1	2222
AT1G03160_2	300
AT1G03170_1	287
AT1G03180_1	1500
AT1G03180_2	154
AT1G03190_1	3446
AT1G03200_1	969
AT1G03210_1	4682
AT1G03220_1	15358
AT1G03230_1	13266
AT1G03240_1	57
AT1G03250_1	3724
AT1G03260_1	4713
AT1G03270_1	1364
AT1G03280_1	4640
AT1G03290_1	4606
AT1G03300_1	1494
AT1G03310_1	1798
AT1G03320_1	347
AT1G03330_1	5498
AT1G03340_1	656
AT1G03350_1	9087
AT1G03360_1	4582
AT1G03370_1	1185
AT1G03380_1	6212
AT1G03390_1	244
AT1G03400_1	698
AT1G03410_1	3698
AT1G03420_1	9026
AT1G03430_1	3878
AT1G03440_1	4187
AT1G03445_1	239
AT1G03457_1	4644
AT1G03457_2	1940
AT1G03470_1	2246
AT1G03470_2	1373
AT1G03475_1	5509
AT1G03490_1	273
AT1G03495_1	1766
AT1G03502_1	1778
AT1G03506_1	930
AT1G03510_1	713
AT1G03520_1	848
AT1G03520_2	1448
AT1G03530_1	6773
AT1G03540_1	1043
AT1G03550_1	5523
AT1G03560_1	2453
AT1G03570_1	636
AT1G03580_1	256
AT1G03590_1	8850
AT1G03600_1	810
AT1G03610_1	6635
AT1G03620_1	3619
AT1G03630_1	746
AT1G03630_2	569
AT1G03650_1	1507
AT1G03660_1	536
AT1G03670_1	534
AT1G03680_1	2980
AT1G03687_1	2038
AT1G03687_2	507
AT1G03700_1	534
AT1G03710_1	221
AT1G03710_2	511
AT1G03720_1	81
AT1G03730_1	2242
AT1G03740_1	5817
AT1G03740_2	1720
AT1G03743_1	294
AT1G03746_1	466
AT1G03750_1	2903
AT1G03760_1	6323
AT1G03770_1	4623
AT1G03780_1	257
AT1G03780_2	3847
AT1G03790_1	103
AT1G03800_1	683
AT1G03810_1	288
AT1G03820_1	7948
AT1G03830_1	4405
AT1G03840_1	4237
AT1G03850_1	457
AT1G03850_2	5162
AT1G03860_1	5675
AT1G03860_2	5250
AT1G03860_3	183
AT1G03870_1	15257
AT1G03880_1	109
AT1G03890_1	234
AT1G03900_1	9571
AT1G03905_1	1470
AT1G03910_1	7177
AT1G03920_1	1644
AT1G03930_1	4102
AT1G03935_1	1976
AT1G03940_1	1939
AT1G03950_1	1356
AT1G03960_1	1034
AT1G03970_1	5487
AT1G03980_1	526
AT1G03982_1	60
AT1G03990_1	2065
AT1G04000_1	3336
AT1G04010_1	4681
AT1G04020_1	2823
AT1G04030_1	4522
AT1G04040_1	16068
AT1G04050_1	4064
AT1G04070_1	1803
AT1G04080_1	6126
AT1G04090_1	637
AT1G04100_1	921
AT1G04110_1	213
AT1G04120_1	6036
AT1G04130_1	1971
AT1G04140_1	11499
AT1G04140_2	8038
AT1G04150_1	480
AT1G04160_1	2083
AT1G04170_1	12006
AT1G04171_1	945
AT1G04180_1	3504
AT1G04190_1	7908
AT1G04200_1	6100
AT1G04210_1	5577
AT1G04220_1	4746
AT1G04230_1	1927
AT1G04240_1	3069
AT1G04250_1	5349
AT1G04260_1	4338
AT1G04270_1	17345
AT1G04270_2	11412
AT1G04280_1	7217
AT1G04290_1	2490
AT1G04295_1	1804
AT1G04300_1	12035
AT1G04310_1	1258
AT1G04330_1	1922
AT1G04340_1	3843
AT1G04350_1	395
AT1G04360_1	2471
AT1G04370_1	600
AT1G04380_1	184
AT1G04390_1	2294
AT1G04400_1	9778
AT1G04400_2	10251
AT1G04410_1	15990
AT1G04420_1	1155
AT1G04425_1	5788
AT1G04430_1	13438
AT1G04430_2	13266
AT1G04440_1	9754
AT1G04445_1	448
AT1G04450_1	92
AT1G04457_1	1191
AT1G04470_1	175
AT1G04480_1	12394
AT1G04490_1	1315
AT1G04500_1	49
AT1G04501_1	50
AT1G04510_1	7546
AT1G04520_1	3310
AT1G04530_1	2454
AT1G04540_1	592
AT1G04550_1	188
AT1G04550_2	5504
AT1G04555_1	1061
AT1G04560_1	213
AT1G04570_1	832
AT1G04580_1	348
AT1G04590_1	2154
AT1G04600_1	164
AT1G04610_1	2294
AT1G04620_1	605
AT1G04625_1	1182
AT1G04630_1	8613
AT1G04635_1	675
AT1G04640_1	388
AT1G04640_2	261
AT1G04645_1	208
AT1G04650_1	621
AT1G04660_1	3444
AT1G04670_1	61
AT1G04680_1	17567
AT1G04690_1	12734
AT1G04700_1	642
AT1G04710_1	2250
AT1G04730_1	1285
AT1G04750_1	647
AT1G04750_2	6966
AT1G04760_1	1600
AT1G04770_1	3661
AT1G04778_1	793
AT1G04780_1	7424
AT1G04790_1	6777
AT1G04800_1	799
AT1G04810_1	7896
AT1G04820_1	15906
AT1G04830_1	3050
AT1G04840_1	527
AT1G04850_1	10281
AT1G04860_1	4494
AT1G04870_1	8805
AT1G04870_2	8927
AT1G04880_1	293
AT1G04890_1	107
AT1G04900_1	1962
AT1G04910_1	7332
AT1G04920_1	567
AT1G04930_1	2042
AT1G04940_1	6351
AT1G04945_1	1263
AT1G04945_2	2116
AT1G04950_1	4703
AT1G04960_1	2374
AT1G04960_2	46
AT1G04970_1	2058
AT1G04970_2	4357
AT1G04980_1	2746
AT1G04985_1	4093
AT1G04990_1	191
AT1G04990_2	3293
AT1G05000_1	728
AT1G05000_2	258
AT1G05010_1	1283
AT1G05020_1	283
AT1G05030_1	2823
AT1G05040_1	102
AT1G05040_2	91
AT1G05055_1	6001
AT1G05060_1	5390
AT1G05061_1	595
AT1G05065_1	39
AT1G05070_1	7896
AT1G05080_1	140
AT1G05085_1	228
AT1G05090_1	5579
AT1G05100_1	2237
AT1G05120_1	6936
